SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf693,B125,top,0,601474.37,15336395.88,22.01,0.00,0.00,1.00,67.90,roofs,1129678.18,0.00,30.00,2.55,0.00,12.68,5,6,10,roofs_top,srf693
srf694,B125,top,0,601474.80,15336405.88,22.01,0.00,0.00,1.00,81.53,roofs,1129775.70,0.00,30.00,2.55,0.00,15.23,5,6,10,roofs_top,srf694
srf695,B125,top,0,601475.23,15336415.88,22.01,0.00,0.00,1.00,90.14,roofs,1130147.27,0.00,30.00,2.55,0.00,16.84,5,6,10,roofs_top,srf695
srf696,B125,top,0,601475.51,15336424.49,22.01,0.00,0.00,1.00,66.56,roofs,1130581.24,0.00,30.00,2.55,0.00,12.43,5,6,10,roofs_top,srf696
srf697,B125,top,0,601465.51,15336396.61,22.01,0.00,0.00,1.00,74.72,roofs,1129877.86,0.00,30.00,2.55,0.00,13.96,5,6,10,roofs_top,srf697
srf698,B125,top,0,601465.51,15336405.88,22.01,0.00,0.00,1.00,59.40,roofs,1129849.45,0.00,30.00,2.55,0.00,11.09,5,6,10,roofs_top,srf698
srf699,B125,top,0,601468.40,15336415.88,22.01,0.00,0.00,1.00,38.19,roofs,1129917.99,0.00,30.00,2.55,0.00,7.13,5,6,10,roofs_top,srf699
srf700,B125,top,0,601468.80,15336424.60,22.01,0.00,0.00,1.00,22.98,roofs,1129530.29,0.00,30.00,2.55,0.00,4.29,5,6,10,roofs_top,srf700
srf701,B125,top,0,601455.51,15336397.67,22.01,0.00,0.00,1.00,53.40,roofs,1129875.16,0.00,30.00,2.55,0.00,9.97,5,6,10,roofs_top,srf701
srf702,B125,top,0,601455.51,15336403.84,22.01,0.00,0.00,1.00,48.52,roofs,1129847.20,0.00,30.00,2.55,0.00,9.06,5,6,10,roofs_top,srf702
srf703,B125,top,0,601445.51,15336398.74,22.01,0.00,0.00,1.00,32.09,roofs,1128908.68,0.00,30.00,2.55,0.00,5.99,5,6,10,roofs_top,srf703
srf704,B125,top,0,601445.51,15336404.91,22.01,0.00,0.00,1.00,69.92,roofs,1128694.44,0.00,30.00,2.55,0.00,13.06,5,6,10,roofs_top,srf704
srf705,B125,top,0,601435.51,15336399.80,22.01,0.00,0.00,1.00,10.77,roofs,1128632.13,0.00,30.00,2.55,0.00,2.01,5,6,10,roofs_top,srf705
srf706,B125,top,0,601435.51,15336405.88,22.01,0.00,0.00,1.00,91.29,roofs,1128728.55,0.00,30.00,2.55,0.00,17.05,5,6,10,roofs_top,srf706
srf707,B125,top,0,601431.79,15336415.88,22.01,0.00,0.00,1.00,21.40,roofs,1128473.83,0.00,30.00,2.55,0.00,4.00,5,6,10,roofs_top,srf707
srf708,B125,top,0,601432.21,15336425.88,22.01,0.00,0.00,1.00,29.79,roofs,1129885.16,0.00,30.00,2.55,0.00,5.56,5,6,10,roofs_top,srf708
srf709,B125,top,0,601432.23,15336431.20,22.01,0.00,0.00,1.00,1.69,roofs,1129781.41,0.00,30.00,2.55,0.00,0.32,5,6,10,roofs_top,srf709
srf710,B125,top,0,601430.48,15336400.87,22.01,0.00,0.00,1.00,0.00,roofs,1128794.38,0.00,30.00,2.55,0.00,0.00,5,6,10,roofs_top,srf710
srf711,B125,top,0,601425.51,15336405.88,22.01,0.00,0.00,1.00,89.12,roofs,1128966.20,0.00,30.00,2.55,0.00,16.65,5,6,10,roofs_top,srf711
srf712,B125,top,0,601425.64,15336415.88,22.01,0.00,0.00,1.00,67.81,roofs,1129584.89,0.00,30.00,2.55,0.00,12.67,5,6,10,roofs_top,srf712
srf713,B125,top,0,601427.27,15336425.88,22.01,0.00,0.00,1.00,64.77,roofs,1130432.09,0.00,30.00,2.55,0.00,12.10,5,6,10,roofs_top,srf713
srf714,B125,top,0,601427.27,15336431.49,22.01,0.00,0.00,1.00,6.07,roofs,1129930.14,0.00,30.00,2.55,0.00,1.13,5,6,10,roofs_top,srf714
srf715,B125,top,0,601420.28,15336405.58,22.01,0.00,0.00,1.00,1.20,roofs,1129289.13,0.00,30.00,2.55,0.00,0.22,5,6,10,roofs_top,srf715
