SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf567,B098,top,0,601296.16,15336436.51,21.01,0.00,0.00,1.00,19.86,roofs,1129144.16,0.00,30.00,2.55,0.00,3.71,5,6,10,roofs_top,srf567
srf568,B098,top,0,601296.52,15336446.51,21.01,0.00,0.00,1.00,26.98,roofs,1129119.35,0.00,30.00,2.55,0.00,5.04,5,6,10,roofs_top,srf568
srf569,B098,top,0,601296.87,15336456.51,21.01,0.00,0.00,1.00,34.01,roofs,1127301.32,0.00,30.00,2.55,0.00,6.35,5,6,10,roofs_top,srf569
srf570,B098,top,0,601299.84,15336466.51,21.01,0.00,0.00,1.00,55.73,roofs,1128669.15,0.00,30.00,2.55,0.00,10.41,5,6,10,roofs_top,srf570
srf571,B098,top,0,601299.99,15336474.01,21.01,0.00,0.00,1.00,41.71,roofs,1129713.23,0.00,30.00,2.55,0.00,7.79,5,6,10,roofs_top,srf571
srf572,B098,top,0,601289.99,15336436.56,21.01,0.00,0.00,1.00,96.03,roofs,1129015.01,0.00,30.00,2.55,0.00,17.94,5,6,10,roofs_top,srf572
srf573,B098,top,0,601289.99,15336446.51,21.01,0.00,0.00,1.00,100.00,roofs,1128374.45,0.00,30.00,2.55,0.00,18.68,5,6,10,roofs_top,srf573
srf574,B098,top,0,601289.99,15336456.51,21.01,0.00,0.00,1.00,100.00,roofs,1127224.96,0.00,30.00,2.55,0.00,18.68,5,6,10,roofs_top,srf574
srf575,B098,top,0,601289.99,15336466.51,21.01,0.00,0.00,1.00,100.00,roofs,1129031.75,0.00,30.00,2.55,0.00,18.68,5,6,10,roofs_top,srf575
srf576,B098,top,0,601289.99,15336474.39,21.01,0.00,0.00,1.00,53.84,roofs,1129652.21,0.00,30.00,2.55,0.00,10.06,5,6,10,roofs_top,srf576
srf577,B098,top,0,601282.69,15336436.86,21.01,0.00,0.00,1.00,39.02,roofs,1128785.69,0.00,30.00,2.55,0.00,7.29,5,6,10,roofs_top,srf577
srf578,B098,top,0,601283.04,15336446.51,21.01,0.00,0.00,1.00,35.29,roofs,1129366.77,0.00,30.00,2.55,0.00,6.59,5,6,10,roofs_top,srf578
srf579,B098,top,0,601283.42,15336456.51,21.01,0.00,0.00,1.00,27.69,roofs,1128927.29,0.00,30.00,2.55,0.00,5.17,5,6,10,roofs_top,srf579
srf580,B098,top,0,601283.80,15336466.51,21.01,0.00,0.00,1.00,20.09,roofs,1128804.16,0.00,30.00,2.55,0.00,3.75,5,6,10,roofs_top,srf580
srf581,B098,top,0,601284.18,15336474.43,21.01,0.00,0.00,1.00,8.18,roofs,1129687.28,0.00,30.00,2.55,0.00,1.53,5,6,10,roofs_top,srf581
