SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf99,B065,top,0,601543.79,15336557.10,5.01,0.00,0.00,1.00,58.05,roofs,936570.68,0.00,30.00,2.55,0.00,10.84,5,6,9,roofs_top,srf99
srf100,B065,top,0,601544.20,15336567.10,5.01,0.00,0.00,1.00,71.92,roofs,986528.02,0.00,30.00,2.55,0.00,13.43,5,6,10,roofs_top,srf100
srf101,B065,top,0,601544.62,15336577.10,5.01,0.00,0.00,1.00,66.73,roofs,959186.99,0.00,30.00,2.55,0.00,12.46,5,6,10,roofs_top,srf101
srf102,B065,top,0,601545.03,15336587.10,5.01,0.00,0.00,1.00,53.71,roofs,989833.89,0.00,30.00,2.55,0.00,10.03,5,6,10,roofs_top,srf102
srf103,B065,top,0,601545.40,15336597.01,5.01,0.00,0.00,1.00,90.39,roofs,1042736.86,0.00,30.00,2.55,0.00,16.88,5,6,10,roofs_top,srf103
srf104,B065,top,0,601535.40,15336561.07,5.01,0.00,0.00,1.00,16.43,roofs,1043741.74,0.00,30.00,2.55,0.00,3.07,5,6,10,roofs_top,srf104
srf105,B065,top,0,601535.40,15336567.10,5.01,0.00,0.00,1.00,100.00,roofs,910012.99,0.00,30.00,2.55,0.00,18.68,5,6,9,roofs_top,srf105
srf106,B065,top,0,601535.40,15336575.77,5.01,0.00,0.00,1.00,67.11,roofs,812233.07,0.00,30.00,2.55,0.00,12.54,5,6,8,roofs_top,srf106
srf107,B065,top,0,601539.86,15336590.54,5.01,0.00,0.00,1.00,2.94,roofs,944902.54,0.00,30.00,2.55,0.00,0.55,5,6,10,roofs_top,srf107
srf108,B065,top,0,601539.98,15336597.01,5.01,0.00,0.00,1.00,4.49,roofs,1013343.42,0.00,30.00,2.55,0.00,0.84,5,6,10,roofs_top,srf108
srf109,B065,top,0,601529.87,15336561.50,5.01,0.00,0.00,1.00,1.18,roofs,1017016.16,0.00,30.00,2.55,0.00,0.22,5,6,10,roofs_top,srf109
