Name,PV_walls_south_E_kWh,PV_walls_north_E_kWh,PV_roofs_top_E_kWh,PV_walls_east_E_kWh,PV_walls_west_E_kWh,E_PV_gen_kWh,radiation_kWh,PV_walls_south_m2,PV_walls_north_m2,PV_roofs_top_m2,PV_walls_east_m2,PV_walls_west_m2,Area_PV_m2
B121,0.00,0.00,1144.45,0.00,0.00,1144.45,12155.71,0.00,0.00,15.25,0.00,0.00,15.25
B122,0.00,0.00,1366.42,0.00,0.00,1366.42,14267.68,0.00,0.00,18.03,0.00,0.00,18.03
B123,0.00,0.00,8607.90,0.00,0.00,8607.90,89549.58,0.00,0.00,80.87,0.00,0.00,80.87
B124,0.00,0.00,5412.63,0.00,0.00,5412.63,56227.78,0.00,0.00,50.70,0.00,0.00,50.70
B125,0.00,0.00,21706.53,0.00,0.00,21706.53,225511.45,0.00,0.00,203.46,0.00,0.00,203.46
B126,0.00,0.00,4999.00,0.00,0.00,4999.00,51307.33,0.00,0.00,47.62,0.00,0.00,47.62
B127,0.00,0.00,1731.01,0.00,0.00,1731.01,18128.52,0.00,0.00,22.58,0.00,0.00,22.58
B128,0.00,0.00,24838.67,0.00,0.00,24838.67,258748.07,0.00,0.00,247.27,0.00,0.00,247.27
B129,0.00,0.00,27211.47,0.00,0.00,27211.47,282864.42,0.00,0.00,260.98,0.00,0.00,260.98
B130,0.00,0.00,67450.91,0.00,0.00,67450.91,700784.25,0.00,0.00,632.73,0.00,0.00,632.73
B131,0.00,0.00,10961.43,0.00,0.00,10961.43,113860.21,0.00,0.00,102.76,0.00,0.00,102.76
B132,0.00,0.00,50370.50,0.00,0.00,50370.50,523971.19,0.00,0.00,563.81,0.00,0.00,563.81
B133,0.00,0.00,7513.88,0.00,0.00,7513.88,78051.51,0.00,0.00,70.41,0.00,0.00,70.41
B134,0.00,0.00,4522.20,0.00,0.00,4522.20,46978.69,0.00,0.00,42.38,0.00,0.00,42.38
B135,0.00,0.00,4543.92,0.00,0.00,4543.92,47209.77,0.00,0.00,42.60,0.00,0.00,42.60
B136,0.00,0.00,2718.15,0.00,0.00,2718.15,28243.09,0.00,0.00,25.48,0.00,0.00,25.48
B137,0.00,0.00,3100.40,0.00,0.00,3100.40,32565.33,0.00,0.00,35.82,0.00,0.00,35.82
B138,0.00,0.00,4556.33,0.00,0.00,4556.33,47320.59,0.00,0.00,42.68,0.00,0.00,42.68
B139,0.00,0.00,7028.21,0.00,0.00,7028.21,73021.50,0.00,0.00,65.96,0.00,0.00,65.96
B140,0.00,0.00,11078.98,0.00,0.00,11078.98,115135.41,0.00,0.00,104.02,0.00,0.00,104.02
B141,0.00,0.00,2531.50,0.00,0.00,2531.50,26766.57,0.00,0.00,31.57,0.00,0.00,31.57
B142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B143,0.00,0.00,602.99,0.00,0.00,602.99,6520.83,0.00,0.00,7.61,0.00,0.00,7.61
B144,0.00,0.00,7950.96,0.00,0.00,7950.96,82580.07,0.00,0.00,74.44,0.00,0.00,74.44
B145,0.00,0.00,5925.49,0.00,0.00,5925.49,61555.48,0.00,0.00,55.53,0.00,0.00,55.53
B146,0.00,0.00,7390.92,0.00,0.00,7390.92,76763.09,0.00,0.00,69.22,0.00,0.00,69.22
B147,0.00,0.00,6094.72,0.00,0.00,6094.72,63303.20,0.00,0.00,57.07,0.00,0.00,57.07
