SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf378,B053,top,0,601313.77,15336562.98,22.01,0.00,0.00,1.00,91.38,roofs,1129047.15,0.00,30.00,2.55,0.00,17.07,5,6,10,roofs_top,srf378
srf379,B053,top,0,601313.86,15336569.74,22.01,0.00,0.00,1.00,30.85,roofs,1127644.25,0.00,30.00,2.55,0.00,5.76,5,6,10,roofs_top,srf379
srf380,B053,top,0,601303.86,15336563.33,22.01,0.00,0.00,1.00,89.39,roofs,1131292.55,0.00,30.00,2.55,0.00,16.70,5,6,10,roofs_top,srf380
srf381,B053,top,0,601303.86,15336572.98,22.01,0.00,0.00,1.00,59.07,roofs,1131218.10,0.00,30.00,2.55,0.00,11.03,5,6,10,roofs_top,srf381
srf382,B053,top,0,601301.39,15336582.98,22.01,0.00,0.00,1.00,44.20,roofs,1131472.63,0.00,30.00,2.55,0.00,8.26,5,6,10,roofs_top,srf382
srf383,B053,top,0,601302.02,15336592.98,22.01,0.00,0.00,1.00,56.81,roofs,1130344.27,0.00,30.00,2.55,0.00,10.61,5,6,10,roofs_top,srf383
srf384,B053,top,0,601302.18,15336599.54,22.01,0.00,0.00,1.00,18.35,roofs,1130516.69,0.00,30.00,2.55,0.00,3.43,5,6,10,roofs_top,srf384
srf385,B053,top,0,601294.69,15336563.70,22.01,0.00,0.00,1.00,66.42,roofs,1131134.29,0.00,30.00,2.55,0.00,12.41,5,6,10,roofs_top,srf385
srf386,B053,top,0,601294.99,15336572.98,22.01,0.00,0.00,1.00,73.70,roofs,1131233.08,0.00,30.00,2.55,0.00,13.77,5,6,10,roofs_top,srf386
srf387,B053,top,0,601295.36,15336582.98,22.01,0.00,0.00,1.00,66.22,roofs,1131121.32,0.00,30.00,2.55,0.00,12.37,5,6,10,roofs_top,srf387
srf388,B053,top,0,601295.74,15336592.98,22.01,0.00,0.00,1.00,58.73,roofs,1130941.22,0.00,30.00,2.55,0.00,10.97,5,6,10,roofs_top,srf388
srf389,B053,top,0,601296.11,15336599.75,22.01,0.00,0.00,1.00,17.87,roofs,1131079.80,0.00,30.00,2.55,0.00,3.34,5,6,10,roofs_top,srf389
