SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf157,B178,top,0,601594.45,15336673.45,6.01,0.00,0.00,1.00,85.37,roofs,829375.76,0.00,30.00,2.55,0.00,15.95,5,6,9,roofs_top,srf157
srf161,B178,top,0,601584.77,15336653.45,6.01,0.00,0.00,1.00,100.00,roofs,897947.13,0.00,30.00,2.55,0.00,18.68,5,6,9,roofs_top,srf161
srf162,B178,top,0,601584.77,15336663.45,6.01,0.00,0.00,1.00,100.00,roofs,923762.39,0.00,30.00,2.55,0.00,18.68,5,6,10,roofs_top,srf162
srf163,B178,top,0,601584.77,15336672.93,6.01,0.00,0.00,1.00,85.57,roofs,999148.93,0.00,30.00,2.55,0.00,15.98,5,6,10,roofs_top,srf163
srf165,B178,top,0,601574.77,15336643.45,6.01,0.00,0.00,1.00,100.00,roofs,814057.60,0.00,30.00,2.55,0.00,18.68,5,6,9,roofs_top,srf165
srf166,B178,top,0,601574.77,15336653.45,6.01,0.00,0.00,1.00,100.00,roofs,902138.07,0.00,30.00,2.55,0.00,18.68,5,6,10,roofs_top,srf166
srf167,B178,top,0,601574.77,15336663.45,6.01,0.00,0.00,1.00,100.00,roofs,930197.52,0.00,30.00,2.55,0.00,18.68,5,6,10,roofs_top,srf167
srf168,B178,top,0,601574.77,15336673.33,6.01,0.00,0.00,1.00,93.65,roofs,970063.64,0.00,30.00,2.55,0.00,17.49,5,6,10,roofs_top,srf168
srf173,B178,top,0,601564.77,15336673.45,6.01,0.00,0.00,1.00,99.67,roofs,884117.34,0.00,30.00,2.55,0.00,18.62,5,6,9,roofs_top,srf173
srf174,B178,top,0,601563.34,15336678.74,6.01,0.00,0.00,1.00,2.06,roofs,932897.02,0.00,30.00,2.55,0.00,0.38,5,6,10,roofs_top,srf174
srf180,B178,top,0,601554.77,15336683.45,6.01,0.00,0.00,1.00,79.31,roofs,970266.29,0.00,30.00,2.55,0.00,14.81,5,6,10,roofs_top,srf180
srf181,B178,top,0,601553.89,15336689.03,6.01,0.00,0.00,1.00,5.97,roofs,934064.75,0.00,30.00,2.55,0.00,1.12,5,6,10,roofs_top,srf181
srf187,B178,top,0,601544.77,15336683.45,6.01,0.00,0.00,1.00,99.10,roofs,903889.48,0.00,30.00,2.55,0.00,18.51,5,6,10,roofs_top,srf187
srf188,B178,top,0,601545.03,15336689.53,6.01,0.00,0.00,1.00,15.69,roofs,890847.24,0.00,30.00,2.55,0.00,2.93,5,6,9,roofs_top,srf188
