SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf216,B174,top,0,601735.78,15336383.92,17.01,0.00,0.00,1.00,85.08,roofs,1134317.52,0.00,30.00,2.55,0.00,15.89,5,6,10,roofs_top,srf216
srf217,B174,top,0,601736.19,15336393.92,17.01,0.00,0.00,1.00,95.00,roofs,1129441.77,0.00,30.00,2.55,0.00,17.74,5,6,10,roofs_top,srf217
srf218,B174,top,0,601736.23,15336399.93,17.01,0.00,0.00,1.00,15.69,roofs,1123497.72,0.00,30.00,2.55,0.00,2.93,5,6,10,roofs_top,srf218
srf219,B174,top,0,601729.08,15336384.13,17.01,0.00,0.00,1.00,39.90,roofs,1135313.46,0.00,30.00,2.55,0.00,7.45,5,6,10,roofs_top,srf219
srf220,B174,top,0,601726.23,15336393.92,17.01,0.00,0.00,1.00,98.15,roofs,1130373.97,0.00,30.00,2.55,0.00,18.33,5,6,10,roofs_top,srf220
srf221,B174,top,0,601726.23,15336400.36,17.01,0.00,0.00,1.00,24.48,roofs,1128515.87,0.00,30.00,2.55,0.00,4.57,5,6,10,roofs_top,srf221
srf222,B174,top,0,601719.83,15336394.18,17.01,0.00,0.00,1.00,24.31,roofs,1130188.38,0.00,30.00,2.55,0.00,4.54,5,6,10,roofs_top,srf222
srf223,B174,top,0,601720.05,15336400.46,17.01,0.00,0.00,1.00,6.85,roofs,1128680.01,0.00,30.00,2.55,0.00,1.28,5,6,10,roofs_top,srf223
