Date,Area_PV_m2,E_PV_gen_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,PV_walls_east_E_kWh,PV_walls_east_m2,PV_walls_north_E_kWh,PV_walls_north_m2,PV_walls_south_E_kWh,PV_walls_south_m2,PV_walls_west_E_kWh,PV_walls_west_m2,radiation_kWh
2016-01-01 00:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 01:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 02:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 03:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 04:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 05:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 06:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 07:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 08:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 09:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 10:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 11:00:00+01:00,7936.68,77.04,77.04,7936.68,0,0,0,0,0,0,0,0,524.84
2016-01-01 12:00:00+01:00,7936.68,119.82,119.82,7936.68,0,0,0,0,0,0,0,0,820.10
2016-01-01 13:00:00+01:00,7936.68,135.34,135.34,7936.68,0,0,0,0,0,0,0,0,944.91
2016-01-01 14:00:00+01:00,7936.68,115.00,115.00,7936.68,0,0,0,0,0,0,0,0,797.16
2016-01-01 15:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 16:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 17:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 18:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 19:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 20:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 21:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 22:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-01 23:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 00:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 01:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 02:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 03:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 04:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 05:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 06:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 07:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 08:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 09:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 10:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 11:00:00+01:00,7936.68,91.09,91.09,7936.68,0,0,0,0,0,0,0,0,621.76
2016-01-02 12:00:00+01:00,7936.68,129.56,129.56,7936.68,0,0,0,0,0,0,0,0,888.79
2016-01-02 13:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 14:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 15:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 16:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 17:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 18:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 19:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 20:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 21:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 22:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-02 23:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 00:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 01:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 02:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 03:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 04:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 05:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 06:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 07:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 08:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 09:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 10:00:00+01:00,7936.68,102.59,102.59,7936.68,0,0,0,0,0,0,0,0,1056.41
2016-01-03 11:00:00+01:00,7936.68,137.46,137.46,7936.68,0,0,0,0,0,0,0,0,1018.61
2016-01-03 12:00:00+01:00,7936.68,151.44,151.44,7936.68,0,0,0,0,0,0,0,0,1417.70
2016-01-03 13:00:00+01:00,7936.68,124.83,124.83,7936.68,0,0,0,0,0,0,0,0,2161.89
2016-01-03 14:00:00+01:00,7936.68,111.63,111.63,7936.68,0,0,0,0,0,0,0,0,1224.37
2016-01-03 15:00:00+01:00,7936.68,81.89,81.89,7936.68,0,0,0,0,0,0,0,0,651.73
2016-01-03 16:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 17:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 18:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 19:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 20:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 21:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 22:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-03 23:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 00:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 01:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 02:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 03:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 04:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 05:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 06:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 07:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 08:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 09:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 10:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 11:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 12:00:00+01:00,7936.68,62.87,62.87,7936.68,0,0,0,0,0,0,0,0,427.74
2016-01-04 13:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 14:00:00+01:00,7936.68,59.78,59.78,7936.68,0,0,0,0,0,0,0,0,406.22
2016-01-04 15:00:00+01:00,7936.68,76.79,76.79,7936.68,0,0,0,0,0,0,0,0,523.34
2016-01-04 16:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 17:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 18:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 19:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 20:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 21:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 22:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-04 23:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 00:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 01:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 02:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 03:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 04:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 05:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 06:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 07:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 08:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 09:00:00+01:00,7936.68,45.78,45.78,7936.68,0,0,0,0,0,0,0,0,665.44
2016-01-05 10:00:00+01:00,7936.68,118.32,118.32,7936.68,0,0,0,0,0,0,0,0,1675.18
2016-01-05 11:00:00+01:00,7936.68,133.32,133.32,7936.68,0,0,0,0,0,0,0,0,1305.75
2016-01-05 12:00:00+01:00,7936.68,144.68,144.68,7936.68,0,0,0,0,0,0,0,0,1059.47
2016-01-05 13:00:00+01:00,7936.68,146.80,146.80,7936.68,0,0,0,0,0,0,0,0,1461.37
2016-01-05 14:00:00+01:00,7936.68,85.14,85.14,7936.68,0,0,0,0,0,0,0,0,1456.34
2016-01-05 15:00:00+01:00,7936.68,69.25,69.25,7936.68,0,0,0,0,0,0,0,0,768.63
2016-01-05 16:00:00+01:00,7936.68,44.18,44.18,7936.68,0,0,0,0,0,0,0,0,441.49
2016-01-05 17:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 18:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 19:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 20:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 21:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 22:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-05 23:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 00:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 01:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 02:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 03:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 04:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 05:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 06:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 07:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 08:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 09:00:00+01:00,7936.68,41.25,41.25,7936.68,0,0,0,0,0,0,0,0,323.22
2016-01-06 10:00:00+01:00,7936.68,103.91,103.91,7936.68,0,0,0,0,0,0,0,0,936.50
2016-01-06 11:00:00+01:00,7936.68,131.82,131.82,7936.68,0,0,0,0,0,0,0,0,1814.52
2016-01-06 12:00:00+01:00,7936.68,153.77,153.77,7936.68,0,0,0,0,0,0,0,0,1481.69
2016-01-06 13:00:00+01:00,7936.68,126.61,126.61,7936.68,0,0,0,0,0,0,0,0,872.99
2016-01-06 14:00:00+01:00,7936.68,130.45,130.45,7936.68,0,0,0,0,0,0,0,0,1058.73
2016-01-06 15:00:00+01:00,7936.68,72.20,72.20,7936.68,0,0,0,0,0,0,0,0,495.86
2016-01-06 16:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 17:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 18:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 19:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 20:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 21:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 22:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-06 23:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 00:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 01:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 02:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 03:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 04:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 05:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 06:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 07:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 08:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 09:00:00+01:00,7936.68,38.13,38.13,7936.68,0,0,0,0,0,0,0,0,380.70
2016-01-07 10:00:00+01:00,7936.68,90.69,90.69,7936.68,0,0,0,0,0,0,0,0,659.33
2016-01-07 11:00:00+01:00,7936.68,64.57,64.57,7936.68,0,0,0,0,0,0,0,0,438.35
2016-01-07 12:00:00+01:00,7936.68,48.19,48.19,7936.68,0,0,0,0,0,0,0,0,327.11
2016-01-07 13:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 14:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 15:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 16:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
2016-01-07 17:00:00+01:00,7936.68,0.00,0.00,7936.68,0,0,0,0,0,0,0,0,0.00
