SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf54,B066,top,0,601579.11,15336572.24,5.01,0.00,0.00,1.00,74.63,roofs,857272.16,0.00,30.00,2.55,0.00,6.97,5,6,9,roofs_top,srf54
srf55,B066,top,0,601579.55,15336582.24,5.01,0.00,0.00,1.00,85.78,roofs,926819.76,0.00,30.00,2.55,0.00,8.01,5,6,9,roofs_top,srf55
srf56,B066,top,0,601579.99,15336592.24,5.01,0.00,0.00,1.00,94.54,roofs,901584.97,0.00,30.00,2.55,0.00,8.83,5,6,9,roofs_top,srf56
srf57,B066,top,0,601580.04,15336598.28,5.01,0.00,0.00,1.00,16.51,roofs,854179.52,0.00,30.00,2.55,0.00,1.54,5,6,9,roofs_top,srf57
srf58,B066,top,0,601570.04,15336572.57,5.01,0.00,0.00,1.00,88.92,roofs,957493.64,0.00,30.00,2.55,0.00,8.30,5,6,10,roofs_top,srf58
srf59,B066,top,0,601570.04,15336582.24,5.01,0.00,0.00,1.00,100.00,roofs,1004760.78,0.00,30.00,2.55,0.00,9.34,5,6,10,roofs_top,srf59
srf60,B066,top,0,601570.04,15336592.24,5.01,0.00,0.00,1.00,76.17,roofs,1016299.50,0.00,30.00,2.55,0.00,7.11,5,6,10,roofs_top,srf60
srf61,B066,top,0,601571.55,15336598.58,5.01,0.00,0.00,1.00,16.44,roofs,1003385.29,0.00,30.00,2.55,0.00,1.54,5,6,10,roofs_top,srf61
srf62,B066,top,0,601562.21,15336573.02,5.01,0.00,0.00,1.00,43.56,roofs,1006474.55,0.00,30.00,2.55,0.00,4.07,5,6,10,roofs_top,srf62
srf63,B066,top,0,601562.57,15336582.24,5.01,0.00,0.00,1.00,45.03,roofs,1034755.91,0.00,30.00,2.55,0.00,4.21,5,6,10,roofs_top,srf63
srf64,B066,top,0,601563.02,15336587.93,5.01,0.00,0.00,1.00,5.01,roofs,1030890.54,0.00,30.00,2.55,0.00,0.47,5,6,10,roofs_top,srf64
