SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf216,B038,top,0,601636.89,15336617.17,17.01,0.00,0.00,1.00,88.87,roofs,1024416.34,0.00,30.00,2.55,0.00,8.30,5,6,10,roofs_top,srf216
srf217,B038,top,0,601636.95,15336624.04,17.01,0.00,0.00,1.00,26.53,roofs,1004628.38,0.00,30.00,2.55,0.00,2.48,5,6,9,roofs_top,srf217
srf218,B038,top,0,601632.17,15336629.79,17.01,0.00,0.00,1.00,1.02,roofs,1103113.31,0.00,30.00,2.55,0.00,0.09,5,6,10,roofs_top,srf218
srf219,B038,top,0,601632.29,15336633.58,17.01,0.00,0.00,1.00,1.53,roofs,1117709.31,0.00,30.00,2.55,0.00,0.14,5,6,10,roofs_top,srf219
srf220,B038,top,0,601626.95,15336617.85,17.01,0.00,0.00,1.00,79.08,roofs,1117484.23,0.00,30.00,2.55,0.00,7.39,5,6,10,roofs_top,srf220
srf221,B038,top,0,601626.95,15336627.17,17.01,0.00,0.00,1.00,99.90,roofs,1116317.23,0.00,30.00,2.55,0.00,9.33,5,6,10,roofs_top,srf221
srf222,B038,top,0,601626.95,15336634.00,17.01,0.00,0.00,1.00,32.32,roofs,1120858.19,0.00,30.00,2.55,0.00,3.02,5,6,10,roofs_top,srf222
srf223,B038,top,0,601620.97,15336618.59,17.01,0.00,0.00,1.00,11.75,roofs,1119848.90,0.00,30.00,2.55,0.00,1.10,5,6,10,roofs_top,srf223
srf224,B038,top,0,601621.27,15336627.17,17.01,0.00,0.00,1.00,9.28,roofs,1122185.21,0.00,30.00,2.55,0.00,0.87,5,6,10,roofs_top,srf224
srf225,B038,top,0,601621.71,15336634.01,17.01,0.00,0.00,1.00,1.21,roofs,1127055.97,0.00,30.00,2.55,0.00,0.11,5,6,10,roofs_top,srf225
