SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf180,B085,top,0,601726.14,15336527.98,16.01,0.00,0.00,1.00,91.38,roofs,1083966.67,0.00,30.00,2.55,0.00,8.53,5,6,10,roofs_top,srf180
srf181,B085,top,0,601726.18,15336533.97,16.01,0.00,0.00,1.00,15.45,roofs,1095675.13,0.00,30.00,2.55,0.00,1.44,5,6,10,roofs_top,srf181
srf182,B085,top,0,601716.18,15336528.37,16.01,0.00,0.00,1.00,85.96,roofs,963357.17,0.00,30.00,2.55,0.00,8.03,5,6,9,roofs_top,srf182
srf183,B085,top,0,601716.44,15336534.37,16.01,0.00,0.00,1.00,22.42,roofs,975370.66,0.00,30.00,2.55,0.00,2.09,5,6,9,roofs_top,srf183
