Name,PV_walls_south_E_kWh,PV_walls_north_E_kWh,PV_roofs_top_E_kWh,PV_walls_east_E_kWh,PV_walls_west_E_kWh,E_PV_gen_kWh,radiation_kWh,PV_walls_south_m2,PV_walls_north_m2,PV_roofs_top_m2,PV_walls_east_m2,PV_walls_west_m2,Area_PV_m2
B001,0.00,0.00,2992.90,0.00,0.00,2992.90,31095.28,0.00,0.00,28.05,0.00,0.00,28.05
B002,0.00,0.00,5673.08,0.00,0.00,5673.08,59424.35,0.00,0.00,52.86,0.00,0.00,52.86
B003,0.00,0.00,2046.06,0.00,0.00,2046.06,21383.03,0.00,0.00,20.68,0.00,0.00,20.68
B004,0.00,0.00,2538.12,0.00,0.00,2538.12,26429.18,0.00,0.00,24.01,0.00,0.00,24.01
B005,0.00,0.00,12716.27,0.00,0.00,12716.27,131701.55,0.00,0.00,120.18,0.00,0.00,120.18
B006,0.00,0.00,2580.84,0.00,0.00,2580.84,26819.84,0.00,0.00,24.27,0.00,0.00,24.27
B007,0.00,0.00,14325.79,0.00,0.00,14325.79,148947.42,0.00,0.00,134.45,0.00,0.00,134.45
B008,0.00,0.00,2650.88,0.00,0.00,2650.88,27532.22,0.00,0.00,24.85,0.00,0.00,24.85
B009,0.00,0.00,4701.62,0.00,0.00,4701.62,48822.99,0.00,0.00,44.07,0.00,0.00,44.07
B010,0.00,0.00,2419.07,0.00,0.00,2419.07,25198.13,0.00,0.00,23.14,0.00,0.00,23.14
B011,0.00,0.00,2108.89,0.00,0.00,2108.89,21937.58,0.00,0.00,20.67,0.00,0.00,20.67
B012,0.00,0.00,4497.91,0.00,0.00,4497.91,47671.63,0.00,0.00,53.08,0.00,0.00,53.08
B013,0.00,0.00,12968.81,0.00,0.00,12968.81,134950.43,0.00,0.00,122.71,0.00,0.00,122.71
B014,0.00,0.00,1325.74,0.00,0.00,1325.74,14191.17,0.00,0.00,13.13,0.00,0.00,13.13
B015,0.00,0.00,4663.72,0.00,0.00,4663.72,48447.41,0.00,0.00,43.69,0.00,0.00,43.69
B016,0.00,0.00,6483.78,0.00,0.00,6483.78,67334.68,0.00,0.00,60.76,0.00,0.00,60.76
B017,0.00,0.00,2224.34,0.00,0.00,2224.34,23166.06,0.00,0.00,21.74,0.00,0.00,21.74
B018,0.00,0.00,3928.45,0.00,0.00,3928.45,40829.55,0.00,0.00,36.90,0.00,0.00,36.90
B019,0.00,0.00,2351.36,0.00,0.00,2351.36,24657.63,0.00,0.00,25.37,0.00,0.00,25.37
B020,0.00,0.00,3078.11,0.00,0.00,3078.11,31977.01,0.00,0.00,28.84,0.00,0.00,28.84
B021,0.00,0.00,2341.24,0.00,0.00,2341.24,24147.80,0.00,0.00,22.15,0.00,0.00,22.15
B022,0.00,0.00,3791.76,0.00,0.00,3791.76,39436.51,0.00,0.00,35.77,0.00,0.00,35.77
B023,0.00,0.00,2485.54,0.00,0.00,2485.54,25803.21,0.00,0.00,23.35,0.00,0.00,23.35
B024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
