SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf216,B050,top,0,601819.41,15336661.53,17.01,0.00,0.00,1.00,82.67,roofs,1129322.77,0.00,30.00,2.55,0.00,7.72,5,6,10,roofs_top,srf216
srf217,B050,top,0,601819.84,15336671.53,17.01,0.00,0.00,1.00,94.00,roofs,1127606.63,0.00,30.00,2.55,0.00,8.78,5,6,10,roofs_top,srf217
srf218,B050,top,0,601819.92,15336677.85,17.01,0.00,0.00,1.00,22.47,roofs,1129066.06,0.00,30.00,2.55,0.00,2.10,5,6,10,roofs_top,srf218
srf219,B050,top,0,601813.28,15336661.85,17.01,0.00,0.00,1.00,30.12,roofs,1129598.89,0.00,30.00,2.55,0.00,2.81,5,6,10,roofs_top,srf219
srf220,B050,top,0,601805.35,15336666.43,17.01,0.00,0.00,1.00,0.09,roofs,1129383.40,0.00,30.00,2.55,0.00,0.01,5,6,10,roofs_top,srf220
srf221,B050,top,0,601809.92,15336671.53,17.01,0.00,0.00,1.00,95.96,roofs,1129281.47,0.00,30.00,2.55,0.00,8.96,5,6,10,roofs_top,srf221
srf222,B050,top,0,601809.92,15336678.24,17.01,0.00,0.00,1.00,30.44,roofs,1129758.44,0.00,30.00,2.55,0.00,2.84,5,6,10,roofs_top,srf222
srf223,B050,top,0,601803.17,15336666.01,17.01,0.00,0.00,1.00,2.11,roofs,1129991.78,0.00,30.00,2.55,0.00,0.20,5,6,10,roofs_top,srf223
srf224,B050,top,0,601803.21,15336671.53,17.01,0.00,0.00,1.00,29.82,roofs,1129499.36,0.00,30.00,2.55,0.00,2.79,5,6,10,roofs_top,srf224
srf225,B050,top,0,601803.65,15336678.33,17.01,0.00,0.00,1.00,8.40,roofs,1128573.14,0.00,30.00,2.55,0.00,0.78,5,6,10,roofs_top,srf225
