SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf432,B007,top,0,601348.07,15336641.94,24.01,0.00,0.00,1.00,73.15,roofs,1130141.77,0.00,30.00,2.55,0.00,6.83,5,6,10,roofs_top,srf432
srf433,B007,top,0,601348.48,15336651.94,24.01,0.00,0.00,1.00,83.48,roofs,1129836.00,0.00,30.00,2.55,0.00,7.80,5,6,10,roofs_top,srf433
srf434,B007,top,0,601348.88,15336661.94,24.01,0.00,0.00,1.00,91.59,roofs,1129876.69,0.00,30.00,2.55,0.00,8.55,5,6,10,roofs_top,srf434
srf435,B007,top,0,601349.10,15336669.95,24.01,0.00,0.00,1.00,55.80,roofs,1118556.19,0.00,30.00,2.55,0.00,5.21,5,6,10,roofs_top,srf435
srf436,B007,top,0,601339.10,15336642.25,24.01,0.00,0.00,1.00,89.41,roofs,1129573.80,0.00,30.00,2.55,0.00,8.35,5,6,10,roofs_top,srf436
srf437,B007,top,0,601339.10,15336651.94,24.01,0.00,0.00,1.00,88.66,roofs,1129626.54,0.00,30.00,2.55,0.00,8.28,5,6,10,roofs_top,srf437
srf438,B007,top,0,601340.50,15336661.94,24.01,0.00,0.00,1.00,68.77,roofs,1129619.57,0.00,30.00,2.55,0.00,6.42,5,6,10,roofs_top,srf438
srf439,B007,top,0,601340.83,15336670.16,24.01,0.00,0.00,1.00,39.43,roofs,1151665.21,0.00,30.00,2.55,0.00,3.68,5,6,10,roofs_top,srf439
srf440,B007,top,0,601329.10,15336642.69,24.01,0.00,0.00,1.00,80.68,roofs,1128487.30,0.00,30.00,2.55,0.00,7.54,5,6,10,roofs_top,srf440
srf441,B007,top,0,601329.10,15336650.24,24.01,0.00,0.00,1.00,62.08,roofs,1128298.55,0.00,30.00,2.55,0.00,5.80,5,6,10,roofs_top,srf441
srf442,B007,top,0,601319.10,15336643.12,24.01,0.00,0.00,1.00,71.96,roofs,1128264.13,0.00,30.00,2.55,0.00,6.72,5,6,10,roofs_top,srf442
srf443,B007,top,0,601319.10,15336650.64,24.01,0.00,0.00,1.00,70.06,roofs,1127865.88,0.00,30.00,2.55,0.00,6.54,5,6,10,roofs_top,srf443
srf444,B007,top,0,601314.43,15336663.27,24.01,0.00,0.00,1.00,2.42,roofs,1127400.86,0.00,30.00,2.55,0.00,0.23,5,6,10,roofs_top,srf444
srf445,B007,top,0,601314.81,15336671.18,24.01,0.00,0.00,1.00,8.76,roofs,1126668.91,0.00,30.00,2.55,0.00,0.82,5,6,10,roofs_top,srf445
srf446,B007,top,0,601309.10,15336643.56,24.01,0.00,0.00,1.00,63.23,roofs,1130372.42,0.00,30.00,2.55,0.00,5.90,5,6,10,roofs_top,srf446
srf447,B007,top,0,601309.10,15336651.94,24.01,0.00,0.00,1.00,99.08,roofs,1127907.75,0.00,30.00,2.55,0.00,9.25,5,6,10,roofs_top,srf447
srf448,B007,top,0,601309.10,15336661.94,24.01,0.00,0.00,1.00,99.68,roofs,1127747.55,0.00,30.00,2.55,0.00,9.31,5,6,10,roofs_top,srf448
srf449,B007,top,0,601309.10,15336671.54,24.01,0.00,0.00,1.00,88.33,roofs,1126151.41,0.00,30.00,2.55,0.00,8.25,5,6,10,roofs_top,srf449
srf450,B007,top,0,601300.41,15336644.00,24.01,0.00,0.00,1.00,39.87,roofs,1128546.83,0.00,30.00,2.55,0.00,3.72,5,6,10,roofs_top,srf450
srf451,B007,top,0,601300.65,15336651.94,24.01,0.00,0.00,1.00,64.51,roofs,1128671.08,0.00,30.00,2.55,0.00,6.02,5,6,10,roofs_top,srf451
srf452,B007,top,0,601301.11,15336661.94,24.01,0.00,0.00,1.00,55.31,roofs,1128118.85,0.00,30.00,2.55,0.00,5.17,5,6,10,roofs_top,srf452
srf453,B007,top,0,601301.57,15336671.69,24.01,0.00,0.00,1.00,43.40,roofs,1126216.84,0.00,30.00,2.55,0.00,4.05,5,6,10,roofs_top,srf453
