,HWB,Heizlast,KWB,Kühllast,Strombedarf,maxLeistung
0,99.1466756282697,44.91649304667715,0.0,0.0,17.38919238924794,18.258
1,52.67630575328828,29.99406570433981,0.0,0.0,17.38919238924794,18.258
2,63.78389975646754,33.92290522559688,0.0,0.0,17.38919238924794,18.258
3,92.1053646204706,42.30764244506385,0.0,0.0,17.38919238924794,18.258
4,75.94253246846557,37.0818207321988,0.0,0.0,17.38919238924794,18.258
5,62.59007063411032,33.14517769622283,0.0,0.0,17.38919238924794,18.258
6,50.321066473284915,29.233011397594858,0.0,0.0,17.38919238924794,18.258
7,62.074383581980165,32.99558204781761,0.0,0.0,17.38919238924794,18.258
8,104.1869483520531,45.48960500186238,0.0,0.0,17.38919238924794,18.258
9,74.92532259667313,36.5310899947381,0.0,0.0,17.38919238924794,18.258
10,102.59412016322518,44.64937221649096,0.0,0.0,17.38919238924794,18.258
11,115.54249529345951,50.88541957478369,0.0,0.0,17.38919238924794,18.258
12,69.91548842734849,34.59899219180988,0.0,0.0,17.38919238924794,18.258
13,70.12168702744367,33.14454870665328,0.0,0.0,17.38919238924794,18.258
14,95.68606570466343,42.92243034356133,0.0,0.0,17.38919238924794,18.258
15,69.79986361711073,35.008935030886136,0.0,0.0,17.38919238924794,18.258
16,57.45991664874717,31.64617017718114,0.0,0.0,17.38919238924794,18.258
17,71.40609665391847,35.47017024187976,0.0,0.0,17.38919238924794,18.258
18,92.72652965517565,41.84823760523632,0.0,0.0,17.38919238924794,18.258
19,88.51820143774174,41.16312098158212,0.0,0.0,17.38919238924794,18.258
20,86.6396080960076,40.3505520123847,0.0,0.0,17.38919238924794,18.258
21,73.6352786923569,36.30785590820936,0.0,0.0,17.38919238924794,18.258
22,80.25571061421229,38.36126722534451,0.0,0.0,17.38919238924794,18.258
23,158.84142810576574,70.12779705865435,0.0,0.0,17.38919238924794,18.258
24,111.84704341940814,47.53255469776702,0.0,0.0,17.38919238924794,18.258
25,99.94770025449432,43.93513299943058,0.0,0.0,17.38919238924794,18.258
26,63.89973864728229,33.23440747027848,0.0,0.0,17.38919238924794,18.258
27,96.20863072349403,43.38463946889258,0.0,0.0,17.38919238924794,18.258
28,100.89584193966351,44.45434813670724,0.0,0.0,17.38919238924794,18.258
29,96.68025071542753,42.77189513160818,0.0,0.0,17.38919238924794,18.258
30,96.97922436261693,43.491363016327696,0.0,0.0,17.38919238924794,18.258
31,91.56938559390187,41.22461741964622,0.0,0.0,17.38919238924794,18.258
32,98.16529767480826,43.39139331256679,0.0,0.0,17.38919238924794,18.258
33,76.54157504266558,36.445589291928016,0.0,0.0,17.38919238924794,18.258
34,60.23987530251528,31.682468700614717,0.0,0.0,17.38919238924794,18.258
35,49.450008828584,28.71867086490512,0.0,0.0,17.38919238924794,18.258
36,75.22559999758886,36.7729276988966,0.0,0.0,17.38919238924794,18.258
37,64.41557960599904,33.03114177165858,0.0,0.0,17.38919238924794,18.258
38,155.6472093198523,64.29809564986296,0.0,0.0,17.38919238924794,18.258
39,101.46741898060958,42.08488391363959,0.0,0.0,17.38919238924794,18.258
40,97.12916934419684,42.9524320788829,0.0,0.0,17.38919238924794,18.258
41,238.137819824676,95.69273076940647,0.0,0.0,17.38919238924794,18.258
42,63.71706934370034,32.75091851853358,0.0,0.0,17.38919238924794,18.258
43,75.33433155594315,36.5547242756248,0.0,0.0,17.38919238924794,18.258
44,98.6705123526571,43.88595605505191,0.0,0.0,17.38919238924794,18.258
45,59.11778746578672,31.48950271752298,0.0,0.0,17.38919238924794,18.258
46,84.03710133530332,39.28421069354749,0.0,0.0,17.38919238924794,18.258
47,56.21106487228874,30.98642668305418,0.0,0.0,17.38919238924794,18.258
48,73.19682949737064,35.6857771862964,0.0,0.0,17.38919238924794,18.258
49,64.67916910724027,33.03711264011826,0.0,0.0,17.38919238924794,18.258
50,29.43855213054732,20.174945970071462,0.0,0.0,17.38919238924794,18.258
51,44.137254289997436,26.904909074485136,0.0,0.0,17.38919238924794,18.258
52,45.661576167694044,27.376421427443237,0.0,0.0,17.38919238924794,18.258
53,44.39154343316306,26.961504155597023,0.0,0.0,17.38919238924794,18.258
54,40.87431848816385,25.32008402166238,0.0,0.0,17.38919238924794,18.258
55,89.84088305775954,41.09765309259565,0.0,0.0,17.38919238924794,18.258
56,89.5270262776417,40.98695172597844,0.0,0.0,17.38919238924794,18.258
57,98.21126215386792,43.33450217050344,0.0,0.0,17.38919238924794,18.258
58,66.35171247765179,34.42097352498536,0.0,0.0,17.38919238924794,18.258
59,57.28863148033461,31.16886156510738,0.0,0.0,17.38919238924794,18.258
60,88.48891053534767,40.54066464269462,0.0,0.0,17.38919238924794,18.258
61,45.79314350980655,27.52603360079071,0.0,0.0,17.38919238924794,18.258
62,75.56901977798707,31.141070275875936,0.0,0.0,17.38919238924794,18.258
63,51.15626672167463,27.587732869291713,0.0,0.0,17.38919238924794,18.258
64,86.344679477308,35.302859666146546,0.0,0.0,17.38919238924794,18.258
65,39.39900385713446,21.010092886726447,0.0,0.0,17.38919238924794,18.258
66,132.0394001309822,55.21120265692721,0.0,0.0,17.38919238924794,18.258
67,75.05467022903204,36.74448122610122,0.0,0.0,17.38919238924794,18.258
68,95.38424444020117,42.76325081152782,0.0,0.0,17.38919238924794,18.258
69,84.75255499234605,39.766827290578384,0.0,0.0,17.38919238924794,18.258
70,80.58459033282502,38.229524126428736,0.0,0.0,17.38919238924794,18.258
71,99.90581355535132,43.93279991349949,0.0,0.0,17.38919238924794,18.258
72,51.5327954013181,29.176851792886524,0.0,0.0,17.38919238924794,18.258
73,55.59807275496807,28.26630041700448,0.0,0.0,17.38919238924794,18.258
74,100.14757880887971,43.72415208918999,0.0,0.0,17.38919238924794,18.258
75,81.29332944619492,38.50603067101728,0.0,0.0,17.38919238924794,18.258
76,81.09962596160138,38.34039172806151,0.0,0.0,17.38919238924794,18.258
77,90.01117595920286,41.08835495575565,0.0,0.0,17.38919238924794,18.258
78,57.93019796156704,31.037192657275877,0.0,0.0,17.38919238924794,18.258
79,76.3068002672958,37.02294879725756,0.0,0.0,17.38919238924794,18.258
80,96.49395777178796,45.6283692722372,0.0,0.0,17.38919238924794,18.258
81,155.44269248237805,65.72063099244339,0.0,0.0,17.38919238924794,18.258
82,101.87725384084666,44.31218968299924,0.0,0.0,17.38919238924794,18.258
83,56.08653207769851,30.78205783366466,0.0,0.0,17.38919238924794,18.258
84,56.68651587340305,30.67280866197887,0.0,0.0,17.38919238924794,18.258
85,49.94373747672666,28.278659455625494,0.0,0.0,17.38919238924794,18.258
86,67.3246118379024,34.16292369901074,0.0,0.0,17.38919238924794,18.258
87,96.57879599644538,42.37402599073184,0.0,0.0,17.38919238924794,18.258
88,65.24765717273803,33.34094358982036,0.0,0.0,17.38919238924794,18.258
89,89.45437395645455,40.47623349330875,0.0,0.0,17.38919238924794,18.258
90,59.764577231803166,32.38452032548149,0.0,0.0,17.38919238924794,18.258
91,47.545978746528206,21.93597219107423,0.0,0.0,17.38919238924794,18.258
92,79.19942072273889,35.85438464265428,0.0,0.0,17.38919238924794,18.258
93,46.807653550513336,27.539784150598038,0.0,0.0,17.38919238924794,18.258
94,48.48442715596102,28.993404844735167,0.0,0.0,17.38919238924794,18.258
95,43.50477974950837,27.047085541376997,0.0,0.0,17.38919238924794,18.258
96,34.807754288092866,22.206124650886526,0.0,0.0,17.38919238924794,18.258
97,40.93873505552401,25.3955537752854,0.0,0.0,17.38919238924794,18.258
98,36.593534406256865,23.062343863742086,0.0,0.0,17.38919238924794,18.258
99,39.00938059815029,24.615333146944053,0.0,0.0,17.38919238924794,18.258
100,35.609800478240814,22.91073041453641,0.0,0.0,17.38919238924794,18.258
101,73.88307703846583,36.65796115563713,0.0,0.0,17.38919238924794,18.258
102,74.86514037970338,36.9716247777095,0.0,0.0,17.38919238924794,18.258
103,91.46400844133062,35.40570701843944,0.0,0.0,17.38919238924794,18.258
104,62.6866481557658,27.57952831482243,0.0,0.0,17.38919238924794,18.258
105,57.10295893800352,31.136624339753507,0.0,0.0,17.38919238924794,18.258
106,88.26224769966815,40.692291886102225,0.0,0.0,17.38919238924794,18.258
107,102.15313670341045,44.8630005256882,0.0,0.0,17.38919238924794,18.258
108,109.93864196986303,45.58294115451562,0.0,0.0,17.38919238924794,18.258
109,73.18326834118463,36.50225581085454,0.0,0.0,17.38919238924794,18.258
110,94.58326716559186,37.03668394064651,0.0,0.0,17.38919238924794,18.258
111,109.0870328898612,47.56780722392484,0.0,0.0,17.38919238924794,18.258
112,70.79126374728702,35.34026570923104,0.0,0.0,17.38919238924794,18.258
113,98.04095981805706,43.379214659008035,0.0,0.0,17.38919238924794,18.258
114,163.13589211292467,72.366499480225,0.0,0.0,17.38919238924794,18.258
115,130.57119140075412,49.00388316731386,0.0,0.0,17.38919238924794,18.258
116,137.53993497830626,52.083634281014035,0.0,0.0,17.38919238924794,18.258
117,76.8424113901164,31.79107496368573,0.0,0.0,17.38919238924794,18.258
118,86.15413175805429,39.83210371653909,0.0,0.0,17.38919238924794,18.258
119,56.75808887157345,31.293958238041277,0.0,0.0,17.38919238924794,18.258
120,146.64380580337988,67.6008279754079,0.0,0.0,17.38919238924794,18.258
121,107.71616068542147,45.14674637434372,0.0,0.0,17.38919238924794,18.258
122,72.82651580590847,36.07458698157613,0.0,0.0,17.38919238924794,18.258
123,82.31137806504826,38.8171016783061,0.0,0.0,17.38919238924794,18.258
124,77.19875659093462,37.220531911658554,0.0,0.0,17.38919238924794,18.258
125,102.03547273870548,44.50216310323517,0.0,0.0,17.38919238924794,18.258
126,97.36963631555105,39.14668091134521,0.0,0.0,17.38919238924794,18.258
127,66.1551966955707,32.02899920183839,0.0,0.0,17.38919238924794,18.258
128,65.50629738363216,31.974435966196985,0.0,0.0,17.38919238924794,18.258
129,72.72631811549775,35.66468977507077,0.0,0.0,17.38919238924794,18.258
130,76.22997479600222,36.81168038693455,0.0,0.0,17.38919238924794,18.258
131,53.46461511457844,27.765021568397064,0.0,0.0,17.38919238924794,18.258
132,76.54241956648906,36.954672653396784,0.0,0.0,17.38919238924794,18.258
133,87.14125879184235,40.34673792331684,0.0,0.0,17.38919238924794,18.258
134,83.07249218742149,39.073945678714615,0.0,0.0,17.38919238924794,18.258
135,64.25643234921887,34.311928107994504,0.0,0.0,17.38919238924794,18.258
136,134.78560954563983,50.817968304720765,0.0,0.0,17.38919238924794,18.258
137,59.02254698460731,32.03206082052692,0.0,0.0,17.38919238924794,18.258
138,54.197712471178356,30.17475021237005,0.0,0.0,17.38919238924794,18.258
139,72.95737572365843,35.720662205175245,0.0,0.0,17.38919238924794,18.258
140,141.80459403225044,58.58100439778693,0.0,0.0,17.38919238924794,18.258
141,92.73011881924951,47.6505290689903,0.0,0.0,17.38919238924794,18.258
142,292.38369922891803,188.6081233731153,0.0,0.0,17.38919238924794,18.258
143,77.02688433193028,37.18827897550312,0.0,0.0,17.38919238924794,18.258
144,51.84908097525861,29.482206063032056,0.0,0.0,17.38919238924794,18.258
145,76.91432931856956,37.3483969429028,0.0,0.0,17.38919238924794,18.258
146,53.356690239754485,30.297212530149864,0.0,0.0,17.38919238924794,18.258
147,75.376561866831,36.912029521710885,0.0,0.0,17.38919238924794,18.258
