Gebäude;Quartier;Art Nutzung;Lüftung;Kühlung;Art Heizung
B131;20;EG Gewerbe;Nein;Nein;Fernwärme
B132;20;Gewerbe;Nein;Nein;Fernwärme
B133;21;EG Gewerbe;Ja;Ja;Fernwärme
B134;21;Wohnen;Nein;Nein;Fernwärme
B135;21;Wohnen;Nein;Nein;Fernwärme
B136;21;Wohnen;Nein;Nein;Gas
B137;21;Wohnen;Nein;Nein;Gas
B138;21;Wohnen;Nein;Nein;Gas
B139;21;Wohnen;Nein;Nein;Gas
B140;21;Wohnen;Nein;Nein;Gas
B141;21;Innenhof;Nein;Nein;Gas
B142;21;Wohnen;Nein;Nein;Gas
B143;21;Wohnen;Nein;Nein;Gas
B144;21;Wohnen;Nein;Nein;Gas
B145;21;Wohnen;Nein;Nein;Fernwärme
B146;22;Wohnen;Ja;Nein;Gas
B147;22;Wohnen;Nein;Nein;Gas
B148;22;Wohnen;Nein;Nein;Gas
B149;22;Wohnen;Nein;Nein;Fernwärme
B150;22;Wohnen;Nein;Nein;Fernwärme
B151;22;Wohnen;Ja;Nein;Fernwärme
B152;22;Wohnen;Nein;Nein;Gas
B153;22;Wohnen;Nein;Nein;Gas
B154;22;Innenhof;Nein;Nein;Gas
B155;23;Wohnen;Nein;Nein;Gas
B156;23;Wohnen;Nein;Nein;Fernwärme
B157;23;Wohnen;Nein;Nein;Gas
B158;23;Wohnen;Nein;Nein;Fernwärme
B159;23;EG Gewerbe;Nein;Nein;Gas
B160;23;Gewerbe;Nein;Nein;Gas
B161;23;Wohnen;Nein;Nein;Gas
B162;23;Gewerbe;Nein;Nein;Gas
B163;23;Wohnen;Nein;Nein;Gas
B164;24;Wohnen;Nein;Nein;Fernwärme
B165;24;Wohnen;Nein;Nein;Fernwärme
B166;24;Wohnen;Nein;Nein;Fernwärme
B167;24;Wohnen;Nein;Nein;Fernwärme
B168;25;EG Gewerbe;Nein;Nein;Gas
B169;25;Wohnen;Nein;Nein;Gas
B170;25;Wohnen;Nein;Nein;Fernwärme
B171;25;Wohnen;Nein;Nein;Fernwärme
B172;25;Wohnen;Nein;Nein;Gas
B173;25;Wohnen;Nein;Nein;Gas
B174;25;Wohnen;Nein;Nein;Gas
B175;25;Wohnen;Nein;Nein;Gas
B176;26;Wohnen;Nein;Nein;Fernwärme
B177;4;Gewerbe;Nein;Nein;Gas
B178;5;Innenhof;Nein;Nein;Fernwärme
