SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf324,B068,top,0,601594.41,15336539.30,21.01,0.00,0.00,1.00,82.70,roofs,1127642.55,0.00,30.00,2.55,0.00,30.89,5,6,10,roofs_top,srf324
srf325,B068,top,0,601594.86,15336549.30,21.01,0.00,0.00,1.00,94.82,roofs,1127334.71,0.00,30.00,2.55,0.00,35.42,5,6,10,roofs_top,srf325
srf326,B068,top,0,601594.90,15336555.13,21.01,0.00,0.00,1.00,12.16,roofs,1127153.61,0.00,30.00,2.55,0.00,4.54,5,6,10,roofs_top,srf326
srf327,B068,top,0,601584.90,15336539.69,21.01,0.00,0.00,1.00,87.44,roofs,1127272.90,0.00,30.00,2.55,0.00,32.66,5,6,10,roofs_top,srf327
srf328,B068,top,0,601584.90,15336549.30,21.01,0.00,0.00,1.00,76.57,roofs,1127210.62,0.00,30.00,2.55,0.00,28.61,5,6,10,roofs_top,srf328
srf329,B068,top,0,601588.76,15336555.22,21.01,0.00,0.00,1.00,3.86,roofs,1127471.68,0.00,30.00,2.55,0.00,1.44,5,6,10,roofs_top,srf329
srf330,B068,top,0,601574.90,15336540.17,21.01,0.00,0.00,1.00,77.88,roofs,1127324.41,0.00,30.00,2.55,0.00,29.09,5,6,10,roofs_top,srf330
srf331,B068,top,0,601574.90,15336548.40,21.01,0.00,0.00,1.00,77.26,roofs,1127586.60,0.00,30.00,2.55,0.00,28.86,5,6,10,roofs_top,srf331
srf332,B068,top,0,601566.20,15336540.64,21.01,0.00,0.00,1.00,49.49,roofs,1127319.98,0.00,30.00,2.55,0.00,18.49,5,6,10,roofs_top,srf332
srf333,B068,top,0,601566.50,15336548.68,21.01,0.00,0.00,1.00,54.38,roofs,1128740.08,0.00,30.00,2.55,0.00,20.31,5,6,10,roofs_top,srf333
