Name,PV_walls_south_E_kWh,PV_walls_north_E_kWh,PV_roofs_top_E_kWh,PV_walls_east_E_kWh,PV_walls_west_E_kWh,E_PV_gen_kWh,radiation_kWh,PV_walls_south_m2,PV_walls_north_m2,PV_roofs_top_m2,PV_walls_east_m2,PV_walls_west_m2,Area_PV_m2
B001,0.00,0.00,11971.89,0.00,0.00,11971.89,124380.08,0.00,0.00,112.18,0.00,0.00,112.18
B002,0.00,0.00,22692.78,0.00,0.00,22692.78,237696.69,0.00,0.00,211.42,0.00,0.00,211.42
B003,0.00,0.00,8184.74,0.00,0.00,8184.74,85532.70,0.00,0.00,82.71,0.00,0.00,82.71
B004,0.00,0.00,10153.02,0.00,0.00,10153.02,105716.55,0.00,0.00,96.05,0.00,0.00,96.05
B005,0.00,0.00,50866.53,0.00,0.00,50866.53,526804.48,0.00,0.00,480.72,0.00,0.00,480.72
B006,0.00,0.00,10323.53,0.00,0.00,10323.53,107278.69,0.00,0.00,97.10,0.00,0.00,97.10
B007,0.00,0.00,57304.21,0.00,0.00,57304.21,595789.49,0.00,0.00,537.80,0.00,0.00,537.80
B008,0.00,0.00,10603.67,0.00,0.00,10603.67,110127.74,0.00,0.00,99.40,0.00,0.00,99.40
B009,0.00,0.00,18806.34,0.00,0.00,18806.34,195292.58,0.00,0.00,176.29,0.00,0.00,176.29
B010,0.00,0.00,9676.01,0.00,0.00,9676.01,100792.73,0.00,0.00,92.58,0.00,0.00,92.58
B011,0.00,0.00,8436.12,0.00,0.00,8436.12,87750.61,0.00,0.00,82.66,0.00,0.00,82.66
B012,0.00,0.00,17992.85,0.00,0.00,17992.85,190686.47,0.00,0.00,212.32,0.00,0.00,212.32
B013,0.00,0.00,51874.62,0.00,0.00,51874.62,539801.38,0.00,0.00,490.83,0.00,0.00,490.83
B014,0.00,0.00,5303.20,0.00,0.00,5303.20,56763.83,0.00,0.00,52.50,0.00,0.00,52.50
B015,0.00,0.00,18654.73,0.00,0.00,18654.73,193789.51,0.00,0.00,174.77,0.00,0.00,174.77
