,HWB,Heizlast,KWB,Kühllast,Strombedarf,maxLeistung,heizart,Fläche,Strombedarfheizen
0,48.41510663267102,29.96513874434393,0.0,0.0,17.29156103907662,21.774,Fernwärme,2710.2291452575996,0.12611818025440946
1,40.43285726870445,25.89281364620441,0.0,0.0,17.27380779596321,28.629,Fernwärme,3395.7576291815762,0.10828941087917184
2,47.46524261027654,29.458770744486642,0.0,0.0,17.279754434963284,9.599,Fernwärme,1106.9704542919646,0.11428334832670235
3,42.251175212290136,27.44798081286057,0.0,0.0,17.2676456861347,11.145,Fernwärme,1285.5832118946,0.10213262461917416
4,39.98596572171883,25.482221405233997,0.0,0.0,35.99473282090044,65.369,Wärmepumpe,7754.381143726068,0.10772454016225445
5,47.96181323873772,29.013031745672958,0.0,0.0,17.28896983466126,15.03,Fernwärme,1819.3934671868649,0.12380759551138913
6,40.058197007048484,25.677557984007304,0.0,0.0,35.61457386605794,72.811,Wärmepumpe,8637.837825856162,0.1046332330999118
7,41.288496411705786,27.356162864772323,0.0,0.0,17.277998372630115,15.383,Fernwärme,1862.51415507665,0.11236274939067589
8,33.465076371485665,23.164271698123677,0.0,0.0,35.5763759942235,20.818,Wärmepumpe,2402.838239832212,0.08547668972042091
9,32.50176021060623,23.4871230127377,0.0,0.0,42.87528895636861,8.863,Wärmepumpe,982.1555891327367,0.08399079901017682
10,27.183345642813904,20.559299380875064,0.0,0.0,17.239258559775973,9.752,Fernwärme,1126.0512526834257,0.07336179068159988
11,35.00954898331351,24.32493934436074,0.0,0.0,38.12250384793265,13.708,Wärmepumpe,1898.4222712293536,0.08850455799606198
12,24.241521212966063,17.522572269168567,0.0,0.0,28.15963438100525,61.949,Wärmepumpe,7155.627278680877,0.06458483200809433
13,35.278500512770954,22.70795772219892,0.0,0.0,38.24627609696751,6.573,Wärmepumpe,607.1585443460618,0.0783419600368053
14,30.9191771198766,21.797959269897262,0.0,0.0,30.889286560813364,20.157,Wärmepumpe,2327.434877759161,0.07416748480623518
15,21.195690316157872,16.00730879343074,0.0,0.0,27.97932382839794,37.323,Wärmepumpe,4528.244104992859,0.05487913747580739
16,24.90627387132778,19.120272239800396,0.0,0.0,36.439812681541554,10.57,Wärmepumpe,1220.7371499172289,0.06806199804080186
17,20.455277717537093,15.863455672736528,0.0,0.0,26.564790823225742,21.046,Wärmepumpe,2501.8685466720776,0.04876034954898286
18,27.0947696938268,19.803980168850636,0.0,0.0,17.23484283802317,12.217,Fernwärme,1410.911861723124,0.0688024409749252
19,27.006277936303555,19.71261739314703,0.0,0.0,17.233272154793415,18.286,Fernwärme,2217.348492487285,0.06784543546400654
20,23.531947798346444,17.84713864661026,0.0,0.0,17.230652155184792,13.818,Fernwärme,1675.8564586558011,0.06503956371572601
21,22.314477722207787,16.80831614461015,0.0,0.0,29.51836657686392,22.708,Wärmepumpe,2754.834414481515,0.057945001591293566
22,21.58018210364207,16.734334686693735,0.0,0.0,32.0732554651093,14.425,Wärmepumpe,1749.9646749054848,0.05836966739334786
23,18.12092784691197,19.61296569708358,0.0,0.0,102.41416361474893,3.015,Wärmepumpe,208.61208326014923,0.11092123176039728
24,32.06357310190479,23.066133054777836,0.0,0.0,41.52479275326512,8.971,Wärmepumpe,994.0807665203001,0.08427162057651652
25,30.026583617073204,21.50999965137764,0.0,0.0,36.605457102018526,12.421,Wärmepumpe,1376.848353452044,0.07423971273517482
26,21.460667575938242,16.073341581583165,0.0,0.0,17.22288961914634,101.355,Fernwärme,12295.739342202241,0.057371070333527514
27,30.4771797381548,21.86539624832433,0.0,0.0,30.936400935639096,18.997,Wärmepumpe,2193.1533250345096,0.07631781331598643
28,29.964088153445235,21.434743686072178,0.0,0.0,35.026615065945954,14.85,Wärmepumpe,1714.6616673920416,0.07522475279379702
29,30.602955358192894,21.54689153813654,0.0,0.0,17.243584237508877,16.572,Fernwärme,1836.6642320367134,0.07826755465343688
30,28.972550032003205,21.06339934712488,0.0,0.0,36.025778716387535,14.872,Wärmepumpe,1717.2762452140876,0.07394706053337381
31,29.05681949292957,20.342521952878673,0.0,0.0,31.79764792270631,16.822,Wärmepumpe,1942.8921018355536,0.06842461261581206
32,29.674456020898543,20.938530551937912,0.0,0.0,33.6901362772053,11.37,Wärmepumpe,1313.0102663006464,0.07246517543659227
33,23.13514439005567,16.86946396179412,0.0,0.0,27.850750731181893,16.931,Wärmepumpe,1956.592179160918,0.05167742729600908
34,17.69217783614282,13.891265622679542,0.0,0.0,26.106806772924887,28.694,Wärmepumpe,3411.043300617038,0.04871177678084789
35,23.472783650705395,17.36324742737256,0.0,0.0,17.22339790446339,19.73,Fernwärme,2393.5041523637356,0.05813814485677403
36,21.86806231596206,16.409327502388535,0.0,0.0,28.624963079389858,19.144,Wärmepumpe,2359.4167402241187,0.05597654260337016
37,32.0196149991226,22.025964574579522,0.0,0.0,33.282426920132934,13.406,Wärmepumpe,1486.209936543352,0.07313638668462374
38,46.55377148062794,31.034441725140518,0.0,0.0,17.269564113650155,5.464,Fernwärme,756.3206964589037,0.10270771273044114
39,28.94102119837886,20.05785485061697,0.0,0.0,41.780213339761644,4.789,Wärmepumpe,442.4865815969252,0.07144320732828108
40,27.50076645678356,20.04335174768895,0.0,0.0,34.867053465098664,8.185,Wärmepumpe,907.552868195537,0.06609422614309601
41,94.36857324276298,54.333079041976355,0.0,0.0,17.438003919436845,1.588,Fernwärme,218.9087992550959,0.2754614931318493
42,63.068716270565616,32.53279261158234,0.0,0.0,17.29942941516834,14.214,Fernwärme,1573.4034441864196,0.1339496449479701
43,75.33433155594315,36.5547242756248,0.0,0.0,17.325116823633223,10.529,Fernwärme,1165.0041194865069,0.15929902386601247
44,61.86770968237592,32.98271945035889,0.0,0.0,17.301575498825645,10.538,Fernwärme,1214.85309566433,0.13637311499879268
45,59.11778746578672,31.48950271752298,0.0,0.0,17.288998968847093,13.867,Fernwärme,1535.3685176986783,0.12356744516366361
46,53.60862545575864,30.09397167345836,0.0,0.0,17.27735147630055,18.19,Fernwärme,2098.1498525711204,0.11161618568739126
47,55.754972080929655,30.82027330463161,0.9259816158946326,3.512,20.70637752050845,14.766,Fernwärme,1454.76568274569,0.12838647982856743
48,72.53883793925162,35.46843171207533,0.0,0.0,17.313809008806736,11.075,Fernwärme,1225.6982538571297,0.14824658333567214
49,64.01200485684622,32.81287315637185,0.0,0.0,17.302214490596775,14.375,Fernwärme,1591.1559805399497,0.1369168076543092
50,23.3482195957383,17.336086816662068,0.0,0.0,17.238776355561285,122.436,Fernwärme,14540.750185795394,0.07327367871970925
51,33.24815175126896,22.434248120033658,0.0,0.0,35.94510569323537,28.452,Wärmepumpe,3448.399222844399,0.08394611761195302
52,34.519037283378566,22.903697039704255,0.0,0.0,34.595083242168364,39.673,Wärmepumpe,4808.590845511473,0.08236418239398842
53,33.500649882120726,22.485947253326195,0.0,0.0,36.07643431429349,27.899,Wärmepumpe,3381.4788243640123,0.08336837409404
54,29.59164934045009,20.400990740752395,0.0,0.0,17.24001078588446,45.874,Fernwärme,5561.89860870468,0.07454185162297984
55,26.866831990585496,19.365294600300924,0.0,0.0,31.916901113086045,17.717,Wärmepumpe,2104.9589548988406,0.06501627789077627
56,27.539361008024443,19.727510378225784,0.0,0.0,33.3304096962219,16.657,Wärmepumpe,1978.4550755411537,0.07175467615863111
57,29.892461000252794,21.35166504932221,0.0,0.0,35.91122273959123,13.275,Wärmepumpe,1471.5480628954385,0.07341547812235823
58,30.4876808632814,21.814723781627244,0.0,0.0,17.244661359801178,11.075,Fernwärme,1278.532734197701,0.07948891926225314
59,27.340946263355175,19.34187846515299,0.0,0.0,31.07170870710971,23.428,Wärmepumpe,2783.27271141479,0.06646226184122636
60,26.946197008883036,19.258874089283832,0.0,0.0,31.505389007659403,22.784,Wärmepumpe,2706.700188841618,0.06772115040231907
61,13.971995446657578,12.399017504187974,0.0,0.0,25.758706008898937,175.264,Wärmepumpe,22098.451430413334,0.045711141344043964
62,18.405329156922296,13.936655414343008,0.0,0.0,30.353045005767257,3.406,Wärmepumpe,236.247514266993,0.04159832379178616
63,24.773651885918397,18.246955828773576,0.0,0.0,34.2105421370774,8.183,Wärmepumpe,756.25387359643,0.06087549068610986
64,23.058213770851925,16.359635533109824,0.0,0.0,32.183445922753954,7.774,Wärmepumpe,538.9791029007893,0.055653374250202683
65,19.53266191767941,14.499825238093765,0.0,0.0,30.840142345892474,9.324,Wärmepumpe,646.5938571282411,0.05019919764179686
66,20.269462752244973,17.741464694902238,0.0,0.0,59.56632629283596,2.942,Wärmepumpe,203.84431105031635,0.0749615515748524
67,24.74733233870708,18.169963383882557,0.13038910678036525,4.379,17.789019289091694,33.938,Fernwärme,3699.3079356918847,0.06682238692227896
68,27.6508650835707,19.90149809221758,0.0,0.0,33.63773658027318,12.773,Wärmepumpe,1517.2436798345195,0.07060941699931869
69,24.226324849452315,18.00377634956846,0.0,0.0,30.4170634613361,18.165,Wärmepumpe,2203.517228506861,0.05908775942548659
70,23.97192786194066,17.53845169780841,0.0,0.0,29.78564356536704,21.199,Wärmepumpe,2571.74912541982,0.058699783814460144
71,27.869853519789995,20.16768484979546,0.0,0.0,35.746265160116046,9.61,Wärmepumpe,1109.8199466563108,0.07072768557063307
72,24.17598339444038,17.836458751296476,0.0,0.0,31.085793313153832,16.196,Wärmepumpe,1871.2612290374543,0.05810743469309686
73,27.79506317986442,18.996205073444685,0.0,0.0,17.232310267154915,12.04,Fernwärme,1112.538213918862,0.06726242159818362
74,30.945621017614382,21.696516968149744,0.0,0.0,31.242335442555973,13.075,Wärmepumpe,1449.6332230177409,0.06878427762711901
75,23.688658432660933,17.549589047239948,0.0,0.0,30.62057417519782,15.439,Wärmepumpe,1872.8429056522011,0.0604132327162501
76,24.16484032201764,17.601283082906765,0.0,0.0,28.312753171310543,21.054,Wärmepumpe,2554.3167915599424,0.05618352031827692
77,26.7152910506038,19.1020834322054,0.0,0.0,33.18234723726276,13.379,Wärmepumpe,1622.4666232996526,0.06755784555248272
78,57.36138374057414,30.839047705521708,0.0,0.0,17.283166132689132,16.153,Fernwärme,1863.114053440569,0.11737650716519876
79,75.75639852597361,36.83967038245632,0.0,0.0,17.336759020789874,20.403,Fernwärme,2350.703831645255,0.17134475662434487
80,94.73968441150045,45.11455525606469,0.0,0.0,17.371757075471695,2.576,Fernwärme,178.07991762991566,0.1972849281221923
81,105.3555072365292,51.41207983606499,0.0,0.0,17.43474964505781,2.026,Fernwärme,139.81125077748317,0.27054999052295425
82,63.74359114541625,33.147707812288246,0.0,0.0,17.299987217711635,9.387,Fernwärme,1082.2267049643533,0.1347514999938398
83,55.58855452743666,30.60393312904852,0.0,0.0,17.281523271258315,19.186,Fernwärme,2276.0936803526783,0.11601943630497809
84,56.10448980476787,30.470708211085793,0.0,0.0,17.283060652590876,9.331,Fernwärme,1076.1972663554518,0.11813042370630544
85,49.356050181753695,28.052575582941746,0.0,0.0,17.265621508999025,16.292,Fernwärme,1879.8331230947085,0.10031341430977923
86,62.88598441169329,32.74547909538004,0.0,0.0,17.310102294342855,8.068,Fernwärme,892.8746428910179,0.14441180080871396
87,61.07063409624697,31.859710506597374,0.0,0.0,17.29167269643927,13.481,Fernwärme,1492.5935245284847,0.1262361033840692
88,64.57534929205902,33.11584396585971,0.0,0.0,17.301599276687003,13.517,Fernwärme,1496.2266592437747,0.13595322205249152
89,56.881187957380824,30.76357672188029,0.0,0.0,17.282728163267468,16.396,Fernwärme,1891.089579200147,0.11726134894926077
90,59.34134007382529,32.2358644579328,0.0,0.0,17.29663422796003,13.518,Fernwärme,1636.330048997284,0.13110859311124431
91,45.695836639812306,21.36883916711232,0.0,0.0,46.60400637431642,6.693,Wärmepumpe,463.7358313625313,0.10203865992719997
92,78.09265361088049,35.50103943831457,0.0,0.0,17.336816887695985,12.46,Fernwärme,1149.0181676414493,0.17181512096996449
93,35.94029148746748,23.370154892806937,0.0,0.0,17.25592699583667,100.87,Fernwärme,11973.110066457759,0.0904691570281634
94,36.22822930544706,24.684176392949418,0.0,0.0,40.67710675117638,27.883,Wärmepumpe,3378.388728079283,0.09215320527032263
95,32.65076146450189,22.578989693565745,0.0,0.0,17.249341214248776,36.324,Fernwärme,4402.322654546744,0.08377063562638609
96,27.13419898204198,18.69899546942335,0.0,0.0,17.24682658222649,73.121,Fernwärme,8862.448193105354,0.0813222119892833
97,30.85663962605499,21.055593533426137,0.0,0.0,17.245324280438897,43.612,Fernwärme,5286.339072413994,0.07986371002047495
98,28.40770234785222,19.340641966472326,0.0,0.0,30.251926564448702,84.585,Wärmepumpe,10249.511412339038,0.08750494185155587
99,27.88140981984759,19.646147118493403,0.0,0.0,32.932910213734345,36.249,Wärmepumpe,4394.029154916838,0.0789707090041157
100,18.23796969938478,14.59038743556827,0.0,0.0,25.893396329807306,81.551,Wärmepumpe,10497.670227736693,0.05861488487183268
