SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf162,B128,top,0,601589.15,15336457.82,9.01,0.00,0.00,1.00,51.31,roofs,994632.49,0.00,30.00,2.55,0.00,14.38,5,6,9,roofs_top,srf162
srf163,B128,top,0,601589.55,15336467.82,9.01,0.00,0.00,1.00,59.88,roofs,1027496.24,0.00,30.00,2.55,0.00,16.78,5,6,10,roofs_top,srf163
srf164,B128,top,0,601589.94,15336477.82,9.01,0.00,0.00,1.00,67.70,roofs,1058027.84,0.00,30.00,2.55,0.00,18.97,5,6,10,roofs_top,srf164
srf165,B128,top,0,601590.33,15336487.82,9.01,0.00,0.00,1.00,75.53,roofs,1058924.59,0.00,30.00,2.55,0.00,21.16,5,6,10,roofs_top,srf165
srf166,B128,top,0,601590.72,15336497.82,9.01,0.00,0.00,1.00,83.35,roofs,1061338.12,0.00,30.00,2.55,0.00,23.35,5,6,10,roofs_top,srf166
srf167,B128,top,0,601591.11,15336507.82,9.01,0.00,0.00,1.00,91.18,roofs,1060968.87,0.00,30.00,2.55,0.00,25.55,5,6,10,roofs_top,srf167
srf168,B128,top,0,601591.36,15336516.35,9.01,0.00,0.00,1.00,65.08,roofs,1078443.41,0.00,30.00,2.55,0.00,18.23,5,6,10,roofs_top,srf168
srf169,B128,top,0,601584.33,15336457.98,9.01,0.00,0.00,1.00,30.19,roofs,992885.10,0.00,30.00,2.55,0.00,8.46,5,6,9,roofs_top,srf169
srf170,B128,top,0,601581.36,15336467.82,9.01,0.00,0.00,1.00,76.43,roofs,1059231.11,0.00,30.00,2.55,0.00,21.41,5,6,10,roofs_top,srf170
srf171,B128,top,0,601581.36,15336477.82,9.01,0.00,0.00,1.00,100.00,roofs,1068907.92,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf171
srf172,B128,top,0,601581.36,15336487.82,9.01,0.00,0.00,1.00,100.00,roofs,1084741.49,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf172
srf173,B128,top,0,601581.36,15336497.82,9.01,0.00,0.00,1.00,100.00,roofs,1091960.65,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf173
srf174,B128,top,0,601581.36,15336507.82,9.01,0.00,0.00,1.00,100.00,roofs,1110358.60,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf174
srf175,B128,top,0,601581.36,15336516.73,9.01,0.00,0.00,1.00,74.36,roofs,1112929.81,0.00,30.00,2.55,0.00,20.83,5,6,10,roofs_top,srf175
srf176,B128,top,0,601574.19,15336469.47,9.01,0.00,0.00,1.00,26.59,roofs,1020439.59,0.00,30.00,2.55,0.00,7.45,5,6,10,roofs_top,srf176
srf177,B128,top,0,601573.03,15336477.82,9.01,0.00,0.00,1.00,36.13,roofs,1062973.52,0.00,30.00,2.55,0.00,10.12,5,6,10,roofs_top,srf177
srf178,B128,top,0,601573.05,15336487.82,9.01,0.00,0.00,1.00,61.30,roofs,1079342.05,0.00,30.00,2.55,0.00,17.17,5,6,10,roofs_top,srf178
srf179,B128,top,0,601573.53,15336497.82,9.01,0.00,0.00,1.00,51.89,roofs,1101371.16,0.00,30.00,2.55,0.00,14.54,5,6,10,roofs_top,srf179
srf180,B128,top,0,601573.98,15336507.82,9.01,0.00,0.00,1.00,43.64,roofs,1108699.01,0.00,30.00,2.55,0.00,12.23,5,6,10,roofs_top,srf180
srf181,B128,top,0,601574.36,15336516.86,9.01,0.00,0.00,1.00,29.26,roofs,1125144.78,0.00,30.00,2.55,0.00,8.20,5,6,10,roofs_top,srf181
