SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf216,B046,top,0,601791.66,15336603.90,16.01,0.00,0.00,1.00,92.20,roofs,1046249.14,0.00,30.00,2.55,0.00,25.83,5,6,10,roofs_top,srf216
srf217,B046,top,0,601791.72,15336609.98,16.01,0.00,0.00,1.00,18.37,roofs,1043445.08,0.00,30.00,2.55,0.00,5.15,5,6,10,roofs_top,srf217
srf218,B046,top,0,601786.92,15336616.26,16.01,0.00,0.00,1.00,1.08,roofs,1113373.08,0.00,30.00,2.55,0.00,0.30,5,6,10,roofs_top,srf218
srf219,B046,top,0,601787.03,15336620.38,16.01,0.00,0.00,1.00,1.54,roofs,1085795.68,0.00,30.00,2.55,0.00,0.43,5,6,10,roofs_top,srf219
srf220,B046,top,0,601781.72,15336604.26,16.01,0.00,0.00,1.00,88.89,roofs,1125117.28,0.00,30.00,2.55,0.00,24.90,5,6,10,roofs_top,srf220
srf221,B046,top,0,601781.72,15336613.90,16.01,0.00,0.00,1.00,99.75,roofs,1126594.49,0.00,30.00,2.55,0.00,27.95,5,6,10,roofs_top,srf221
srf222,B046,top,0,601781.72,15336620.72,16.01,0.00,0.00,1.00,32.91,roofs,1123181.72,0.00,30.00,2.55,0.00,9.22,5,6,10,roofs_top,srf222
srf223,B046,top,0,601775.31,15336604.65,16.01,0.00,0.00,1.00,20.83,roofs,1128925.69,0.00,30.00,2.55,0.00,5.84,5,6,10,roofs_top,srf223
srf224,B046,top,0,601775.65,15336613.90,16.01,0.00,0.00,1.00,17.26,roofs,1128122.53,0.00,30.00,2.55,0.00,4.83,5,6,10,roofs_top,srf224
srf225,B046,top,0,601776.06,15336620.75,16.01,0.00,0.00,1.00,4.26,roofs,1123078.48,0.00,30.00,2.55,0.00,1.19,5,6,10,roofs_top,srf225
