SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf432,B146,top,0,601704.66,15336499.25,24.01,0.00,0.00,1.00,18.96,roofs,1130452.50,0.00,30.00,2.55,0.00,5.31,5,6,10,roofs_top,srf432
srf433,B146,top,0,601705.37,15336505.55,24.01,0.00,0.00,1.00,91.19,roofs,1130304.78,0.00,30.00,2.55,0.00,25.55,5,6,10,roofs_top,srf433
srf434,B146,top,0,601701.94,15336510.70,24.01,0.00,0.00,1.00,0.46,roofs,1130282.05,0.00,30.00,2.55,0.00,0.13,5,6,10,roofs_top,srf434
srf435,B146,top,0,601695.37,15336495.55,24.01,0.00,0.00,1.00,79.54,roofs,1130555.74,0.00,30.00,2.55,0.00,22.29,5,6,10,roofs_top,srf435
srf436,B146,top,0,601695.37,15336505.55,24.01,0.00,0.00,1.00,100.00,roofs,1130324.38,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf436
srf437,B146,top,0,601695.37,15336511.16,24.01,0.00,0.00,1.00,7.59,roofs,1129818.88,0.00,30.00,2.55,0.00,2.13,5,6,10,roofs_top,srf437
srf438,B146,top,0,601688.20,15336495.86,24.01,0.00,0.00,1.00,36.67,roofs,1129884.95,0.00,30.00,2.55,0.00,10.27,5,6,10,roofs_top,srf438
srf439,B146,top,0,601688.55,15336505.55,24.01,0.00,0.00,1.00,32.39,roofs,1129876.03,0.00,30.00,2.55,0.00,9.07,5,6,10,roofs_top,srf439
srf440,B146,top,0,601688.95,15336511.29,24.01,0.00,0.00,1.00,3.78,roofs,1130001.22,0.00,30.00,2.55,0.00,1.06,5,6,10,roofs_top,srf440
