Name,PV_walls_south_E_kWh,PV_walls_north_E_kWh,PV_roofs_top_E_kWh,PV_walls_east_E_kWh,PV_walls_west_E_kWh,E_PV_gen_kWh,radiation_kWh,PV_walls_south_m2,PV_walls_north_m2,PV_roofs_top_m2,PV_walls_east_m2,PV_walls_west_m2,Area_PV_m2
B001,0.00,0.00,8978.98,0.00,0.00,8978.98,93285.34,0.00,0.00,84.14,0.00,0.00,84.14
B002,0.00,0.00,17019.60,0.00,0.00,17019.60,178272.57,0.00,0.00,158.57,0.00,0.00,158.57
B003,0.00,0.00,6138.51,0.00,0.00,6138.51,64149.59,0.00,0.00,62.03,0.00,0.00,62.03
B004,0.00,0.00,7614.42,0.00,0.00,7614.42,79287.63,0.00,0.00,72.04,0.00,0.00,72.04
B005,0.00,0.00,38149.92,0.00,0.00,38149.92,395103.81,0.00,0.00,360.54,0.00,0.00,360.54
B006,0.00,0.00,7742.58,0.00,0.00,7742.58,80459.22,0.00,0.00,72.82,0.00,0.00,72.82
B007,0.00,0.00,42978.26,0.00,0.00,42978.26,446842.23,0.00,0.00,403.35,0.00,0.00,403.35
B008,0.00,0.00,7952.87,0.00,0.00,7952.87,82595.71,0.00,0.00,74.55,0.00,0.00,74.55
B009,0.00,0.00,14104.86,0.00,0.00,14104.86,146469.17,0.00,0.00,132.22,0.00,0.00,132.22
B010,0.00,0.00,7257.24,0.00,0.00,7257.24,75594.18,0.00,0.00,69.43,0.00,0.00,69.43
B011,0.00,0.00,6327.14,0.00,0.00,6327.14,65812.96,0.00,0.00,62.00,0.00,0.00,62.00
B012,0.00,0.00,13494.30,0.00,0.00,13494.30,143014.84,0.00,0.00,159.24,0.00,0.00,159.24
B013,0.00,0.00,38906.08,0.00,0.00,38906.08,404850.74,0.00,0.00,368.13,0.00,0.00,368.13
B014,0.00,0.00,3977.32,0.00,0.00,3977.32,42572.80,0.00,0.00,39.38,0.00,0.00,39.38
B015,0.00,0.00,13990.91,0.00,0.00,13990.91,145342.01,0.00,0.00,131.08,0.00,0.00,131.08
B016,0.00,0.00,19450.19,0.00,0.00,19450.19,202006.91,0.00,0.00,182.29,0.00,0.00,182.29
B017,0.00,0.00,6673.49,0.00,0.00,6673.49,69498.71,0.00,0.00,65.23,0.00,0.00,65.23
B018,0.00,0.00,11785.44,0.00,0.00,11785.44,122488.37,0.00,0.00,110.69,0.00,0.00,110.69
B019,0.00,0.00,7054.77,0.00,0.00,7054.77,73972.34,0.00,0.00,76.11,0.00,0.00,76.11
B020,0.00,0.00,9234.53,0.00,0.00,9234.53,95930.21,0.00,0.00,86.51,0.00,0.00,86.51
B021,0.00,0.00,7024.02,0.00,0.00,7024.02,72443.31,0.00,0.00,66.45,0.00,0.00,66.45
B022,0.00,0.00,11375.35,0.00,0.00,11375.35,118309.79,0.00,0.00,107.31,0.00,0.00,107.31
B023,0.00,0.00,7456.39,0.00,0.00,7456.39,77409.30,0.00,0.00,70.04,0.00,0.00,70.04
B024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B025,0.00,0.00,6829.45,0.00,0.00,6829.45,69631.92,0.00,0.00,67.46,0.00,0.00,67.46
B026,0.00,0.00,9932.82,0.00,0.00,9932.82,103104.45,0.00,0.00,93.42,0.00,0.00,93.42
B027,0.00,0.00,52176.64,0.00,0.00,52176.64,541872.86,0.00,0.00,489.02,0.00,0.00,489.02
B028,0.00,0.00,13352.67,0.00,0.00,13352.67,138676.38,0.00,0.00,125.12,0.00,0.00,125.12
B029,0.00,0.00,10170.48,0.00,0.00,10170.48,105665.33,0.00,0.00,95.53,0.00,0.00,95.53
B030,0.00,0.00,13529.25,0.00,0.00,13529.25,139614.99,0.00,0.00,128.65,0.00,0.00,128.65
B031,0.00,0.00,10225.16,0.00,0.00,10225.16,106226.69,0.00,0.00,96.71,0.00,0.00,96.71
B032,0.00,0.00,11563.88,0.00,0.00,11563.88,120123.26,0.00,0.00,108.38,0.00,0.00,108.38
B033,0.00,0.00,7696.50,0.00,0.00,7696.50,79954.94,0.00,0.00,72.11,0.00,0.00,72.11
B034,0.00,0.00,11209.26,0.00,0.00,11209.26,116527.08,0.00,0.00,107.88,0.00,0.00,107.88
B035,0.00,0.00,15988.26,0.00,0.00,15988.26,163527.16,0.00,0.00,156.34,0.00,0.00,156.34
B036,0.00,0.00,10103.34,0.00,0.00,10103.34,104906.01,0.00,0.00,95.80,0.00,0.00,95.80
B037,0.00,0.00,8824.45,0.00,0.00,8824.45,91660.89,0.00,0.00,82.63,0.00,0.00,82.63
B038,0.00,0.00,10221.66,0.00,0.00,10221.66,106101.72,0.00,0.00,98.48,0.00,0.00,98.48
B039,0.00,0.00,14220.69,0.00,0.00,14220.69,151635.47,0.00,0.00,162.17,0.00,0.00,162.17
B040,0.00,0.00,2944.86,0.00,0.00,2944.86,31155.06,0.00,0.00,29.51,0.00,0.00,29.51
B041,0.00,0.00,6602.85,0.00,0.00,6602.85,68620.61,0.00,0.00,62.05,0.00,0.00,62.05
B042,0.00,0.00,3235.92,0.00,0.00,3235.92,34723.64,0.00,0.00,44.70,0.00,0.00,44.70
B043,0.00,0.00,11322.21,0.00,0.00,11322.21,117603.84,0.00,0.00,106.24,0.00,0.00,106.24
B044,0.00,0.00,8463.01,0.00,0.00,8463.01,87571.44,0.00,0.00,80.01,0.00,0.00,80.01
B045,0.00,0.00,7055.11,0.00,0.00,7055.11,73303.48,0.00,0.00,66.12,0.00,0.00,66.12
B046,0.00,0.00,10970.02,0.00,0.00,10970.02,114296.49,0.00,0.00,105.65,0.00,0.00,105.65
B047,0.00,0.00,12405.79,0.00,0.00,12405.79,128949.76,0.00,0.00,116.46,0.00,0.00,116.46
B048,0.00,0.00,6831.40,0.00,0.00,6831.40,70955.99,0.00,0.00,64.03,0.00,0.00,64.03
B049,0.00,0.00,8954.99,0.00,0.00,8954.99,92438.78,0.00,0.00,84.62,0.00,0.00,84.62
B050,0.00,0.00,11837.98,0.00,0.00,11837.98,122960.43,0.00,0.00,110.97,0.00,0.00,110.97
B051,0.00,0.00,89382.34,0.00,0.00,89382.34,928578.95,0.00,0.00,836.94,0.00,0.00,836.94
B052,0.00,0.00,14730.37,0.00,0.00,14730.37,153033.11,0.00,0.00,138.02,0.00,0.00,138.02
B053,0.00,0.00,20137.67,0.00,0.00,20137.67,209179.33,0.00,0.00,188.55,0.00,0.00,188.55
B054,0.00,0.00,14447.72,0.00,0.00,14447.72,150080.89,0.00,0.00,135.34,0.00,0.00,135.34
B055,0.00,0.00,23690.36,0.00,0.00,23690.36,245991.43,0.00,0.00,222.10,0.00,0.00,222.10
B056,0.00,0.00,10647.44,0.00,0.00,10647.44,110562.52,0.00,0.00,99.95,0.00,0.00,99.95
B057,0.00,0.00,9839.58,0.00,0.00,9839.58,102151.97,0.00,0.00,92.39,0.00,0.00,92.39
B058,0.00,0.00,10228.73,0.00,0.00,10228.73,105661.97,0.00,0.00,99.15,0.00,0.00,99.15
B059,0.00,0.00,7369.94,0.00,0.00,7369.94,76453.84,0.00,0.00,70.61,0.00,0.00,70.61
B060,0.00,0.00,13021.37,0.00,0.00,13021.37,134571.74,0.00,0.00,124.41,0.00,0.00,124.41
B061,0.00,0.00,12740.02,0.00,0.00,12740.02,131349.63,0.00,0.00,121.69,0.00,0.00,121.69
B062,0.00,0.00,65197.24,0.00,0.00,65197.24,677033.39,0.00,0.00,611.22,0.00,0.00,611.22
B063,0.00,0.00,3522.56,0.00,0.00,3522.56,36052.03,0.00,0.00,41.95,0.00,0.00,41.95
B064,0.00,0.00,9729.53,0.00,0.00,9729.53,101298.72,0.00,0.00,105.94,0.00,0.00,105.94
B065,0.00,0.00,13085.17,0.00,0.00,13085.17,138019.78,0.00,0.00,149.32,0.00,0.00,149.32
B066,0.00,0.00,16041.10,0.00,0.00,16041.10,167936.66,0.00,0.00,181.16,0.00,0.00,181.16
B067,0.00,0.00,840.02,0.00,0.00,840.02,8432.40,0.00,0.00,10.43,0.00,0.00,10.43
B068,0.00,0.00,18397.51,0.00,0.00,18397.51,191108.62,0.00,0.00,172.74,0.00,0.00,172.74
B069,0.00,0.00,7493.75,0.00,0.00,7493.75,78025.91,0.00,0.00,70.85,0.00,0.00,70.85
B070,0.00,0.00,9399.69,0.00,0.00,9399.69,97644.35,0.00,0.00,88.20,0.00,0.00,88.20
B071,0.00,0.00,10972.95,0.00,0.00,10972.95,114015.61,0.00,0.00,102.93,0.00,0.00,102.93
B072,0.00,0.00,6524.57,0.00,0.00,6524.57,67261.09,0.00,0.00,62.19,0.00,0.00,62.19
B073,0.00,0.00,11110.95,0.00,0.00,11110.95,115536.54,0.00,0.00,104.86,0.00,0.00,104.86
B074,0.00,0.00,13492.50,0.00,0.00,13492.50,140665.04,0.00,0.00,154.76,0.00,0.00,154.76
B075,0.00,0.00,9974.51,0.00,0.00,9974.51,102086.09,0.00,0.00,97.91,0.00,0.00,97.91
B076,0.00,0.00,7482.15,0.00,0.00,7482.15,77725.75,0.00,0.00,70.06,0.00,0.00,70.06
B077,0.00,0.00,10913.16,0.00,0.00,10913.16,113375.16,0.00,0.00,102.24,0.00,0.00,102.24
B078,0.00,0.00,6924.21,0.00,0.00,6924.21,71949.51,0.00,0.00,64.94,0.00,0.00,64.94
B079,0.00,0.00,10955.32,0.00,0.00,10955.32,113933.02,0.00,0.00,104.40,0.00,0.00,104.40
B080,0.00,0.00,14046.95,0.00,0.00,14046.95,145927.32,0.00,0.00,131.72,0.00,0.00,131.72
B081,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B082,0.00,0.00,1058.47,0.00,0.00,1058.47,11012.50,0.00,0.00,14.34,0.00,0.00,14.34
B083,0.00,0.00,6363.43,0.00,0.00,6363.43,65616.61,0.00,0.00,60.64,0.00,0.00,60.64
B084,0.00,0.00,11569.76,0.00,0.00,11569.76,120219.36,0.00,0.00,108.49,0.00,0.00,108.49
B085,0.00,0.00,5839.94,0.00,0.00,5839.94,60498.31,0.00,0.00,60.30,0.00,0.00,60.30
B086,0.00,0.00,11235.30,0.00,0.00,11235.30,116173.56,0.00,0.00,106.81,0.00,0.00,106.81
B087,0.00,0.00,6555.17,0.00,0.00,6555.17,68270.71,0.00,0.00,62.54,0.00,0.00,62.54
B088,0.00,0.00,10776.27,0.00,0.00,10776.27,111699.61,0.00,0.00,104.55,0.00,0.00,104.55
B089,0.00,0.00,11138.08,0.00,0.00,11138.08,115702.76,0.00,0.00,104.80,0.00,0.00,104.80
B090,0.00,0.00,11389.37,0.00,0.00,11389.37,119198.89,0.00,0.00,105.97,0.00,0.00,105.97
B091,0.00,0.00,6989.53,0.00,0.00,6989.53,72587.03,0.00,0.00,65.49,0.00,0.00,65.49
B092,0.00,0.00,9923.62,0.00,0.00,9923.62,104305.12,0.00,0.00,120.01,0.00,0.00,120.01
B093,0.00,0.00,13278.03,0.00,0.00,13278.03,137605.35,0.00,0.00,127.62,0.00,0.00,127.62
B094,0.00,0.00,59554.16,0.00,0.00,59554.16,616589.39,0.00,0.00,562.72,0.00,0.00,562.72
B095,0.00,0.00,14248.27,0.00,0.00,14248.27,148104.91,0.00,0.00,135.22,0.00,0.00,135.22
B096,0.00,0.00,18224.24,0.00,0.00,18224.24,189271.70,0.00,0.00,170.69,0.00,0.00,170.69
B097,0.00,0.00,37751.28,0.00,0.00,37751.28,392259.22,0.00,0.00,354.18,0.00,0.00,354.18
B098,0.00,0.00,22659.42,0.00,0.00,22659.42,235381.24,0.00,0.00,212.49,0.00,0.00,212.49
B099,0.00,0.00,41852.43,0.00,0.00,41852.43,434972.92,0.00,0.00,392.82,0.00,0.00,392.82
