SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf216,B051,top,0,601273.22,15336566.58,20.01,0.00,0.00,1.00,55.02,roofs,1129478.46,0.00,30.00,2.55,0.00,15.42,5,6,10,roofs_top,srf216
srf217,B051,top,0,601273.60,15336576.58,20.01,0.00,0.00,1.00,63.81,roofs,1130653.66,0.00,30.00,2.55,0.00,17.88,5,6,10,roofs_top,srf217
srf218,B051,top,0,601273.98,15336586.58,20.01,0.00,0.00,1.00,71.43,roofs,1129696.51,0.00,30.00,2.55,0.00,20.01,5,6,10,roofs_top,srf218
srf219,B051,top,0,601274.36,15336596.58,20.01,0.00,0.00,1.00,79.06,roofs,1129952.38,0.00,30.00,2.55,0.00,22.15,5,6,10,roofs_top,srf219
srf220,B051,top,0,601274.74,15336606.58,20.01,0.00,0.00,1.00,86.69,roofs,1131481.71,0.00,30.00,2.55,0.00,24.29,5,6,10,roofs_top,srf220
srf221,B051,top,0,601275.13,15336616.58,20.01,0.00,0.00,1.00,94.31,roofs,1131849.00,0.00,30.00,2.55,0.00,26.42,5,6,10,roofs_top,srf221
srf222,B051,top,0,601275.22,15336623.26,20.01,0.00,0.00,1.00,28.91,roofs,1132338.26,0.00,30.00,2.55,0.00,8.10,5,6,10,roofs_top,srf222
srf223,B051,top,0,601265.22,15336566.80,20.01,0.00,0.00,1.00,91.35,roofs,1129495.26,0.00,30.00,2.55,0.00,25.59,5,6,10,roofs_top,srf223
srf224,B051,top,0,601265.22,15336576.58,20.01,0.00,0.00,1.00,100.00,roofs,1129180.45,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf224
srf225,B051,top,0,601265.22,15336586.58,20.01,0.00,0.00,1.00,100.00,roofs,1130389.66,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf225
srf226,B051,top,0,601265.22,15336596.58,20.01,0.00,0.00,1.00,100.00,roofs,1131744.69,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf226
srf227,B051,top,0,601265.22,15336606.58,20.01,0.00,0.00,1.00,100.00,roofs,1131701.03,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf227
srf228,B051,top,0,601265.22,15336616.58,20.01,0.00,0.00,1.00,100.00,roofs,1131962.81,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf228
srf229,B051,top,0,601265.22,15336623.72,20.01,0.00,0.00,1.00,38.31,roofs,1131910.81,0.00,30.00,2.55,0.00,10.73,5,6,10,roofs_top,srf229
srf230,B051,top,0,601255.22,15336567.22,20.01,0.00,0.00,1.00,82.90,roofs,1129585.16,0.00,30.00,2.55,0.00,23.23,5,6,10,roofs_top,srf230
srf231,B051,top,0,601255.22,15336576.58,20.01,0.00,0.00,1.00,100.00,roofs,1129367.06,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf231
srf232,B051,top,0,601255.22,15336586.58,20.01,0.00,0.00,1.00,100.00,roofs,1129396.45,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf232
srf233,B051,top,0,601255.22,15336596.58,20.01,0.00,0.00,1.00,100.00,roofs,1131402.70,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf233
