SURFACE,BUILDING,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf630,B027,top,0,601582.41,15336621.80,22.01,0.00,0.00,1.00,91.23,roofs,1129380.52,0.00,30.00,2.55,0.00,25.56,5,6,10,roofs_top,srf630
srf631,B027,top,0,601582.46,15336628.18,22.01,0.00,0.00,1.00,20.40,roofs,1129186.14,0.00,30.00,2.55,0.00,5.72,5,6,10,roofs_top,srf631
srf632,B027,top,0,601572.46,15336622.17,22.01,0.00,0.00,1.00,88.54,roofs,1129006.98,0.00,30.00,2.55,0.00,24.81,5,6,10,roofs_top,srf632
srf633,B027,top,0,601572.46,15336628.90,22.01,0.00,0.00,1.00,34.78,roofs,1129500.27,0.00,30.00,2.55,0.00,9.74,5,6,10,roofs_top,srf633
srf634,B027,top,0,601562.46,15336622.58,22.01,0.00,0.00,1.00,80.37,roofs,1128809.12,0.00,30.00,2.55,0.00,22.52,5,6,10,roofs_top,srf634
srf635,B027,top,0,601562.46,15336629.61,22.01,0.00,0.00,1.00,49.08,roofs,1129421.34,0.00,30.00,2.55,0.00,13.75,5,6,10,roofs_top,srf635
srf636,B027,top,0,601560.73,15336652.63,22.01,0.00,0.00,1.00,49.85,roofs,1129676.92,0.00,30.00,2.55,0.00,13.97,5,6,10,roofs_top,srf636
srf637,B027,top,0,601561.05,15336660.69,22.01,0.00,0.00,1.00,51.19,roofs,1129342.86,0.00,30.00,2.55,0.00,14.34,5,6,10,roofs_top,srf637
srf638,B027,top,0,601552.46,15336622.99,22.01,0.00,0.00,1.00,72.19,roofs,1128925.87,0.00,30.00,2.55,0.00,20.23,5,6,10,roofs_top,srf638
srf639,B027,top,0,601552.46,15336630.33,22.01,0.00,0.00,1.00,63.38,roofs,1128828.11,0.00,30.00,2.55,0.00,17.76,5,6,10,roofs_top,srf639
srf640,B027,top,0,601552.46,15336652.90,22.01,0.00,0.00,1.00,73.40,roofs,1129674.27,0.00,30.00,2.55,0.00,20.56,5,6,10,roofs_top,srf640
srf641,B027,top,0,601552.46,15336661.13,22.01,0.00,0.00,1.00,82.19,roofs,1129621.37,0.00,30.00,2.55,0.00,23.03,5,6,10,roofs_top,srf641
srf642,B027,top,0,601542.46,15336623.39,22.01,0.00,0.00,1.00,64.02,roofs,1129117.44,0.00,30.00,2.55,0.00,17.94,5,6,10,roofs_top,srf642
srf643,B027,top,0,601542.46,15336631.04,22.01,0.00,0.00,1.00,77.68,roofs,1128957.93,0.00,30.00,2.55,0.00,21.76,5,6,10,roofs_top,srf643
srf644,B027,top,0,601542.46,15336653.36,22.01,0.00,0.00,1.00,64.17,roofs,1129134.62,0.00,30.00,2.55,0.00,17.98,5,6,10,roofs_top,srf644
srf645,B027,top,0,601542.46,15336661.16,22.01,0.00,0.00,1.00,48.36,roofs,1129454.95,0.00,30.00,2.55,0.00,13.55,5,6,10,roofs_top,srf645
srf646,B027,top,0,601532.46,15336623.80,22.01,0.00,0.00,1.00,55.85,roofs,1128974.09,0.00,30.00,2.55,0.00,15.65,5,6,10,roofs_top,srf646
srf647,B027,top,0,601532.46,15336631.80,22.01,0.00,0.00,1.00,94.34,roofs,1128409.55,0.00,30.00,2.55,0.00,26.43,5,6,10,roofs_top,srf647
srf648,B027,top,0,601530.41,15336641.80,22.01,0.00,0.00,1.00,55.51,roofs,1129251.98,0.00,30.00,2.55,0.00,15.55,5,6,10,roofs_top,srf648
srf649,B027,top,0,601532.46,15336651.80,22.01,0.00,0.00,1.00,83.33,roofs,1129370.73,0.00,30.00,2.55,0.00,23.35,5,6,10,roofs_top,srf649
srf650,B027,top,0,601532.46,15336659.64,22.01,0.00,0.00,1.00,52.64,roofs,1129766.81,0.00,30.00,2.55,0.00,14.75,5,6,10,roofs_top,srf650
srf651,B027,top,0,601522.46,15336624.21,22.01,0.00,0.00,1.00,47.68,roofs,1129671.28,0.00,30.00,2.55,0.00,13.36,5,6,10,roofs_top,srf651
srf652,B027,top,0,601522.46,15336631.80,22.01,0.00,0.00,1.00,100.00,roofs,1128938.59,0.00,30.00,2.55,0.00,28.02,5,6,10,roofs_top,srf652
srf653,B027,top,0,601522.46,15336641.80,22.01,0.00,0.00,1.00,96.97,roofs,1129302.40,0.00,30.00,2.55,0.00,27.17,5,6,10,roofs_top,srf653
srf654,B027,top,0,601522.82,15336651.80,22.01,0.00,0.00,1.00,88.71,roofs,1128921.19,0.00,30.00,2.55,0.00,24.86,5,6,10,roofs_top,srf654
srf655,B027,top,0,601523.24,15336659.96,22.01,0.00,0.00,1.00,49.19,roofs,1129379.42,0.00,30.00,2.55,0.00,13.78,5,6,10,roofs_top,srf655
srf656,B027,top,0,601516.81,15336624.62,22.01,0.00,0.00,1.00,4.89,roofs,1129633.92,0.00,30.00,2.55,0.00,1.37,5,6,10,roofs_top,srf656
srf657,B027,top,0,601516.99,15336631.80,22.01,0.00,0.00,1.00,5.40,roofs,1129484.35,0.00,30.00,2.55,0.00,1.51,5,6,10,roofs_top,srf657
srf658,B027,top,0,601517.40,15336637.53,22.01,0.00,0.00,1.00,0.09,roofs,1128791.90,0.00,30.00,2.55,0.00,0.03,5,6,10,roofs_top,srf658
