,HWB,Heizlast,KWB,Kühllast,Strombedarf,maxLeistung,heizart,Fläche
0,45.6833108297032,26.43949622862183,0.0,0.0,0.10998330989989258,0.092,Fernwärme,2710.2291452575996
1,53.274816701950186,29.01368270373679,0.0,0.0,0.12660369228796506,0.136,Fernwärme,3395.7576291815762
2,118.78156380211763,48.27438241748315,0.0,0.0,0.2546288106055189,0.064,Fernwärme,1106.9704542919646
3,54.77399105464445,29.65450184741038,0.0,0.0,0.11444091527840797,0.046,Fernwärme,1285.5832118946
4,41.78958541925091,23.971517815513987,0.0,0.0,0.10192357986456611,0.255,Gas,7754.381143726068
5,113.84995385481798,46.89158455196852,0.0,0.0,0.2510297902137587,0.101,Fernwärme,1819.3934671868649
6,59.40918991926252,31.658122365349975,0.0,0.0,0.14189682596149808,0.366,Gas,8637.837825856162
7,46.16248235919774,26.01066998404576,0.0,0.0,0.09693750035234626,0.057,Fernwärme,1862.51415507665
8,66.45606029813354,33.2069087738598,0.0,0.0,0.14097702508769142,0.099,Gas,2402.838239832212
9,73.55049303816749,34.67557876799919,0.0,0.0,0.14443338486626145,0.04,Gas,982.1555891327367
10,64.9167999988159,32.21655015829647,0.0,0.0,0.1221265750091396,0.041,Fernwärme,1126.0512526834257
11,71.24266259029868,36.01043392881035,0.0,0.0,0.13804201594798204,0.069,Gas,1898.4222712293536
12,47.17132215169111,26.06200504428158,0.0,0.0,0.10475391571179468,0.248,Gas,7155.627278680877
13,68.06749581108946,31.156051465953983,0.0,0.0,0.13272093620777875,0.026,Gas,607.1585443460618
14,61.48004921011042,31.649648647545472,0.0,0.0,0.12814643588327923,0.091,Gas,2327.434877759161
15,46.16704295307409,25.647635153936047,0.0,0.0,0.09653079648534839,0.138,Gas,4528.244104992859
16,59.103854568788684,30.55529956276431,0.0,0.0,0.11549029445997466,0.044,Gas,1220.7371499172289
17,46.6315079207646,25.902351168115356,0.0,0.0,0.09180131743801574,0.074,Gas,2501.8685466720776
18,60.58742042674535,30.78919422075797,0.0,0.0,0.11687478663322888,0.051,Fernwärme,1410.911861723124
19,57.04184856792101,30.531787651142626,0.0,0.0,0.11941693207840377,0.081,Fernwärme,2217.348492487285
20,55.95187767750154,29.539515419537246,0.0,0.0,0.1119865919337533,0.058,Fernwärme,1675.8564586558011
21,46.10983355895186,25.961271535664984,0.0,0.0,0.0966896647230228,0.084,Gas,2754.834414481515
