,HWB,Heizlast,KWB,Kühllast,Strombedarf,maxLeistung,heizart,Fläche
0,48.41510663267102,29.96513874434393,0.0,0.0,17.29156103907662,21.774,Fernwärme,2710.2291452575996
1,40.43285726870445,25.89281364620441,0.0,0.0,17.27380779596321,28.629,Fernwärme,3395.7576291815762
2,47.46524261027654,29.458770744486642,0.0,0.0,17.279754434963284,9.599,Fernwärme,1106.9704542919646
3,42.251175212290136,27.44798081286057,0.0,0.0,17.2676456861347,11.145,Fernwärme,1285.5832118946
4,39.98596572171883,25.482221405233997,0.0,0.0,17.273183115579933,65.369,Gas,7754.381143726068
5,47.96181323873772,29.013031745672958,0.0,0.0,17.28896983466126,15.03,Fernwärme,1819.3934671868649
6,40.058197007048484,25.677557984007304,0.0,0.0,17.270119098262388,72.811,Gas,8637.837825856162
7,47.66352389471329,28.90554677560899,0.0,0.0,17.28865144405587,15.386,Fernwärme,1862.51415507665
8,104.1869483520531,45.48960500186238,0.0,0.0,17.409530950549453,20.884,Gas,2402.838239832212
9,117.83590617857544,49.09692480373774,0.0,0.0,17.421732939967125,8.893,Gas,982.1555891327367
10,102.59412016322518,44.64937221649096,0.0,0.0,17.392444248413707,9.783,Fernwärme,1126.0512526834257
11,115.54249529345951,50.88541957478369,0.0,0.0,17.42789011083942,13.759,Gas,1898.4222712293536
12,69.91548842734849,34.59899219180988,0.0,0.0,17.333564852744686,62.111,Gas,7155.627278680877
13,110.32526588327269,44.84055787723802,0.0,0.0,17.394430670511166,6.591,Gas,607.1585443460618
14,95.68606570466343,42.92243034356133,0.0,0.0,17.385672782841766,20.218,Gas,2327.434877759161
15,69.79986361711073,35.008935030886136,0.0,0.0,17.321921394915996,37.425,Gas,4528.244104992859
16,91.93862589896135,41.8585759291685,0.0,0.0,17.374383654689616,10.602,Gas,1220.7371499172289
17,71.40609665391847,35.47017024187976,0.0,0.0,17.31576029850143,21.102,Gas,2501.8685466720776
18,92.72652965517565,41.84823760523632,0.0,0.0,17.3721140113898,12.253,Fernwärme,1410.911861723124
19,88.51820143774174,41.16312098158212,0.0,0.0,17.37116576885088,18.343,Fernwärme,2217.348492487285
20,86.6396080960076,40.3505520123847,0.0,0.0,17.365523308784944,13.862,Fernwärme,1675.8564586558011
21,73.6352786923569,36.30785590820936,0.0,0.0,17.32998600551013,22.771,Gas,2754.834414481515
22,80.25571061421229,38.36126722534451,0.0,0.0,17.34422738454769,14.469,Gas,1749.9646749054848
23,158.84142810576574,70.12779705865435,0.0,0.0,17.555809349414226,3.032,Gas,208.61208326014923
24,111.84704341940814,47.53255469776702,0.0,0.0,17.42009381933541,9.001,Gas,994.0807665203001
25,99.94770025449432,43.93513299943058,0.0,0.0,17.387068434569397,12.458,Gas,1376.848353452044
26,63.89973864728229,33.23440747027848,0.0,0.0,17.314483620231147,101.62,Fernwärme,12295.739342202241
27,96.20863072349403,43.38463946889258,0.0,0.0,17.39755694236305,19.058,Gas,2193.1533250345096
28,100.89584193966351,44.45434813670724,0.0,0.0,17.393014851326356,14.897,Gas,1714.6616673920416
29,96.68025071542753,42.77189513160818,0.0,0.0,17.40043165216937,16.625,Fernwärme,1836.6642320367134
30,96.97922436261693,43.491363016327696,0.0,0.0,17.384757156562404,14.918,Gas,1717.2762452140876
31,91.56938559390187,41.22461741964622,0.0,0.0,17.36563182643061,16.869,Gas,1942.8921018355536
32,98.16529767480826,43.39139331256679,0.0,0.0,17.384945024536496,11.405,Gas,1313.0102663006464
33,76.54157504266558,36.445589291928016,0.0,0.0,17.32545697004699,16.975,Gas,1956.592179160918
34,60.23987530251528,31.682468700614717,0.0,0.0,17.30584003069693,28.773,Gas,3411.043300617038
35,77.12762549841287,37.36410286780922,0.0,0.0,17.33818375372382,19.787,Fernwärme,2393.5041523637356
36,75.22559999758886,36.7729276988966,0.0,0.0,17.33319908798558,19.199,Gas,2359.4167402241187
37,99.3339577405502,43.353239004781024,0.0,0.0,17.37979784278072,13.444,Gas,1486.209936543352
38,155.6472093198523,64.29809564986296,0.0,0.0,17.488936575871886,5.488,Gas,756.3206964589037
39,101.46741898060958,42.08488391363959,0.0,0.0,17.378592198634987,4.802,Gas,442.4865815969252
40,97.12916934419684,42.9524320788829,0.0,0.0,17.37542631128459,8.209,Gas,907.552868195537
41,238.137819824676,95.69273076940647,0.0,0.0,17.681031844282327,1.596,Fernwärme,218.9087992550959
42,63.068716270565616,32.53279261158234,0.0,0.0,17.29942941516834,14.214,Gas,1573.4034441864196
43,75.33433155594315,36.5547242756248,0.0,0.0,17.325116823633223,10.529,Gas,1165.0041194865069
44,61.86770968237592,32.98271945035889,0.0,0.0,17.301575498825645,10.538,Gas,1214.85309566433
45,59.11778746578672,31.48950271752298,0.0,0.0,17.288998968847093,13.867,Fernwärme,1535.3685176986783
46,53.60862545575864,30.09397167345836,0.0,0.0,17.27735147630055,18.19,Gas,2098.1498525711204
47,55.754972080929655,30.82027330463161,0.9259816158946326,3.512,18.1918046319084,14.766,Gas,1454.76568274569
48,72.53883793925162,35.46843171207533,0.0,0.0,17.313809008806736,11.075,Gas,1225.6982538571297
49,64.01200485684622,32.81287315637185,0.0,0.0,17.302214490596775,14.375,Gas,1591.1559805399497
50,23.3482195957383,17.336086816662068,0.0,0.0,17.238776355561285,122.436,Fernwärme,14540.750185795394
51,33.24815175126896,22.434248120033658,0.0,0.0,17.24932860157299,28.452,Gas,3448.399222844399
52,34.519037283378566,22.903697039704255,0.0,0.0,17.247760362418052,39.673,Gas,4808.590845511473
